account_id,account_name,industry,region,customer_tier,annual_revenue,employee_count
A00111,Synthetic Account 111,Financial Services,EMEA,Enterprise,712924108.0,6030
A00112,Synthetic Account 112,Retail,APAC,Commercial,4876272576.0,42612
A00113,Synthetic Account 113,Energy,North America,Commercial,1612667343.0,10355
A00114,Synthetic Account 114,Consumer Goods,APAC,Commercial,924504618.0,6049
A00115,Synthetic Account 115,Consumer Goods,APAC,Enterprise,5351827457.0,25633
A00116,Synthetic Account 116,Financial Services,EMEA,Enterprise,1371267395.0,7404
A00117,Synthetic Account 117,Financial Services,Latin America,Enterprise,575074541.0,3935
A00118,Synthetic Account 118,Automotive,APAC,Enterprise,290920308.0,1969
A00119,Synthetic Account 119,Financial Services,EMEA,Commercial,1005040160.0,6079
A00120,Synthetic Account 120,Healthcare,North America,Commercial,1038916862.0,4964
A00121,Synthetic Account 121,Financial Services,North America,Enterprise,1126543579.0,7196
A00122,Synthetic Account 122,Manufacturing,EMEA,Strategic,1075604879.0,7350
A00123,Synthetic Account 123,Energy,North America,Enterprise,131953986.0,996
A00124,Synthetic Account 124,Manufacturing,EMEA,Enterprise,1496024777.0,9273
A00125,Synthetic Account 125,Retail,North America,Enterprise,1294506475.0,11595
A00126,Synthetic Account 126,Energy,APAC,Enterprise,572314534.0,3524
A00127,Synthetic Account 127,Technology,APAC,Enterprise,3193567616.0,18482
A00128,Synthetic Account 128,Telecommunications,APAC,Commercial,3442876385.0,16835
A00129,Synthetic Account 129,Public Sector,Latin America,Strategic,2069473391.0,11725
A00130,Synthetic Account 130,Technology,EMEA,Enterprise,731714036.0,5089
A00131,Synthetic Account 131,Energy,EMEA,Commercial,1816668827.0,15827
A00132,Synthetic Account 132,Telecommunications,Latin America,Enterprise,1290031563.0,10186
A00133,Synthetic Account 133,Healthcare,North America,Enterprise,201072105.0,1755
A00134,Synthetic Account 134,Telecommunications,Latin America,Enterprise,513959593.0,2981
A00135,Synthetic Account 135,Telecommunications,Latin America,Strategic,406207074.0,1859
A00136,Synthetic Account 136,Retail,EMEA,Enterprise,1636326995.0,12639
A00137,Synthetic Account 137,Financial Services,APAC,Enterprise,505702322.0,3364
A00138,Synthetic Account 138,Energy,Latin America,Enterprise,271996303.0,2109
A00139,Synthetic Account 139,Telecommunications,EMEA,Enterprise,994542127.0,8802
A00140,Synthetic Account 140,Technology,Latin America,Commercial,475365133.0,3329
A00141,Synthetic Account 141,Technology,North America,Commercial,448411661.0,2529
A00142,Synthetic Account 142,Public Sector,Latin America,Strategic,176447969.0,1332
A00143,Synthetic Account 143,Automotive,APAC,Enterprise,378496408.0,2213
A00144,Synthetic Account 144,Public Sector,EMEA,Commercial,1237404269.0,5700
A00145,Synthetic Account 145,Energy,North America,Enterprise,1456726305.0,12649
A00146,Synthetic Account 146,Telecommunications,EMEA,Strategic,930193400.0,8303
A00147,Synthetic Account 147,Retail,Latin America,Commercial,740596673.0,5653
A00148,Synthetic Account 148,Energy,APAC,Enterprise,3027149046.0,17918
A00149,Synthetic Account 149,Manufacturing,Latin America,Enterprise,663087634.0,4362
A00150,Synthetic Account 150,Manufacturing,Latin America,Enterprise,166614536.0,918
A00151,Synthetic Account 151,Healthcare,APAC,Enterprise,217868312.0,1000
A00152,Synthetic Account 152,Retail,North America,Enterprise,1509898556.0,10840
A00153,Synthetic Account 153,Technology,North America,Enterprise,6235881434.0,52373
A00154,Synthetic Account 154,Technology,EMEA,Commercial,684550016.0,4205
A00155,Synthetic Account 155,Retail,North America,Strategic,3554259326.0,18401
A00156,Synthetic Account 156,Public Sector,APAC,Strategic,542921059.0,2451
A00157,Synthetic Account 157,Public Sector,EMEA,Enterprise,2985067510.0,16655
A00158,Synthetic Account 158,Automotive,Latin America,Strategic,1559737027.0,8435
A00159,Synthetic Account 159,Financial Services,Latin America,Enterprise,978476926.0,8372
A00160,Synthetic Account 160,Automotive,North America,Enterprise,370673054.0,1785
A00161,Synthetic Account 161,Retail,APAC,Commercial,1373300347.0,6267
A00162,Synthetic Account 162,Technology,APAC,Strategic,1712439453.0,14461
A00163,Synthetic Account 163,Manufacturing,North America,Strategic,849632529.0,6712
A00164,Synthetic Account 164,Automotive,North America,Enterprise,1037639848.0,7621
A00165,Synthetic Account 165,Retail,EMEA,Enterprise,1540498319.0,8493
A00166,Synthetic Account 166,Manufacturing,North America,Enterprise,781962687.0,5209
A00167,Synthetic Account 167,Telecommunications,APAC,Commercial,402593069.0,2722
A00168,Synthetic Account 168,Manufacturing,EMEA,Enterprise,377534083.0,2660
A00169,Synthetic Account 169,Financial Services,Latin America,Commercial,987785281.0,7142
A00170,Synthetic Account 170,Financial Services,North America,Commercial,884658030.0,7850
A00171,Synthetic Account 171,Financial Services,APAC,Enterprise,105332272.0,850
A00172,Synthetic Account 172,Healthcare,EMEA,Strategic,1471815114.0,8201
A00173,Synthetic Account 173,Healthcare,EMEA,Strategic,849869530.0,4177
A00174,Synthetic Account 174,Automotive,EMEA,Commercial,853116987.0,6298
A00175,Synthetic Account 175,Automotive,North America,Commercial,1271476538.0,7572
A00176,Synthetic Account 176,Consumer Goods,Latin America,Strategic,370845211.0,3062
A00177,Synthetic Account 177,Technology,Latin America,Strategic,6484832173.0,40022
A00178,Synthetic Account 178,Healthcare,North America,Enterprise,463175633.0,2339
A00179,Synthetic Account 179,Healthcare,EMEA,Enterprise,1457417043.0,12557
A00180,Synthetic Account 180,Consumer Goods,Latin America,Commercial,626921682.0,3184
A00181,Synthetic Account 181,Healthcare,APAC,Enterprise,474564513.0,4267
A00182,Synthetic Account 182,Consumer Goods,North America,Enterprise,1766424911.0,14257
A00183,Synthetic Account 183,Automotive,APAC,Commercial,3498655744.0,27723
A00184,Synthetic Account 184,Healthcare,Latin America,Enterprise,2543553574.0,14721
A00185,Synthetic Account 185,Manufacturing,North America,Strategic,1335506776.0,9860
A00186,Synthetic Account 186,Telecommunications,APAC,Strategic,1020044024.0,6980
A00187,Synthetic Account 187,Automotive,Latin America,Enterprise,764189382.0,3743
A00188,Synthetic Account 188,Public Sector,North America,Strategic,210964569.0,1052
A00189,Synthetic Account 189,Retail,APAC,Commercial,1258805497.0,6049
A00190,Synthetic Account 190,Energy,North America,Enterprise,1354052085.0,11223
A00191,Synthetic Account 191,Telecommunications,North America,Enterprise,637691103.0,5677
A00192,Synthetic Account 192,Technology,APAC,Strategic,567692688.0,5074
A00193,Synthetic Account 193,Manufacturing,APAC,Commercial,198153063.0,1331
A00194,Synthetic Account 194,Automotive,EMEA,Enterprise,1189840363.0,8467
A00195,Synthetic Account 195,Telecommunications,EMEA,Enterprise,1575698477.0,8984
A00196,Synthetic Account 196,Healthcare,EMEA,Enterprise,834302086.0,4398
A00197,Synthetic Account 197,Manufacturing,APAC,Commercial,2427636775.0,19398
A00198,Synthetic Account 198,Telecommunications,EMEA,Enterprise,1338748103.0,9113
A00199,Synthetic Account 199,Energy,Latin America,Commercial,379334488.0,2783
A00200,Synthetic Account 200,Manufacturing,APAC,Commercial,1898466848.0,10505
A00201,Synthetic Account 201,Consumer Goods,Latin America,Enterprise,680123537.0,3608
A00202,Synthetic Account 202,Automotive,Latin America,Enterprise,1220121249.0,7211
A00203,Synthetic Account 203,Public Sector,APAC,Enterprise,1891735766.0,10046
A00204,Synthetic Account 204,Financial Services,North America,Enterprise,2591975677.0,12230
A00205,Synthetic Account 205,Healthcare,North America,Commercial,913821129.0,6022
A00206,Synthetic Account 206,Public Sector,EMEA,Strategic,344093659.0,1776
A00207,Synthetic Account 207,Automotive,Latin America,Strategic,78609514.0,500
A00208,Synthetic Account 208,Energy,North America,Enterprise,1977403946.0,8842
A00209,Synthetic Account 209,Technology,North America,Enterprise,3796690282.0,22105
A00210,Synthetic Account 210,Energy,APAC,Commercial,1559250113.0,8096
A00211,Synthetic Account 211,Healthcare,North America,Enterprise,2220309883.0,13013
A00212,Synthetic Account 212,Technology,APAC,Commercial,437270616.0,2766
A00213,Synthetic Account 213,Energy,APAC,Commercial,953879514.0,5155
A00214,Synthetic Account 214,Financial Services,Latin America,Commercial,526607737.0,2362
A00215,Synthetic Account 215,Telecommunications,APAC,Strategic,427392082.0,3360
A00216,Synthetic Account 216,Energy,Latin America,Enterprise,324710736.0,1752
A00217,Synthetic Account 217,Telecommunications,North America,Enterprise,621565880.0,4373
A00218,Synthetic Account 218,Manufacturing,Latin America,Enterprise,388930724.0,3414
A00219,Synthetic Account 219,Manufacturing,Latin America,Commercial,3328237412.0,23506
A00220,Synthetic Account 220,Manufacturing,EMEA,Enterprise,2760229032.0,14126
A00221,Synthetic Account 221,Technology,Latin America,Enterprise,440293279.0,3543
A00222,Synthetic Account 222,Energy,APAC,Strategic,2497260808.0,18423
A00223,Synthetic Account 223,Retail,Latin America,Enterprise,593690162.0,2840
A00224,Synthetic Account 224,Manufacturing,North America,Commercial,639110180.0,3928
A00225,Synthetic Account 225,Automotive,EMEA,Commercial,2929231046.0,22046
A00226,Synthetic Account 226,Healthcare,North America,Strategic,1028127961.0,6351
A00227,Synthetic Account 227,Consumer Goods,EMEA,Enterprise,1371701571.0,6759
A00228,Synthetic Account 228,Telecommunications,North America,Enterprise,714482504.0,6105
A00229,Synthetic Account 229,Healthcare,North America,Enterprise,625450815.0,3417
A00230,Synthetic Account 230,Manufacturing,APAC,Commercial,599099086.0,5151
A00231,Synthetic Account 231,Technology,Latin America,Commercial,727873983.0,5919
A00232,Synthetic Account 232,Financial Services,North America,Enterprise,936335694.0,7495
A00233,Synthetic Account 233,Automotive,Latin America,Commercial,764873857.0,6506
A00234,Synthetic Account 234,Technology,EMEA,Strategic,260382720.0,1764
A00235,Synthetic Account 235,Public Sector,APAC,Enterprise,2090978730.0,15013
A00236,Synthetic Account 236,Financial Services,APAC,Enterprise,671552287.0,3788
A00237,Synthetic Account 237,Healthcare,EMEA,Enterprise,867230207.0,6991
A00238,Synthetic Account 238,Telecommunications,EMEA,Strategic,274046892.0,1288
A00239,Synthetic Account 239,Retail,EMEA,Strategic,941391603.0,8224
A00240,Synthetic Account 240,Financial Services,North America,Enterprise,1325822661.0,7904
A00241,Synthetic Account 241,Automotive,Latin America,Enterprise,368961738.0,3264
A00242,Synthetic Account 242,Energy,EMEA,Enterprise,586686660.0,4164
A00243,Synthetic Account 243,Technology,APAC,Commercial,15656959096.0,96327
A00244,Synthetic Account 244,Consumer Goods,EMEA,Strategic,311596573.0,2477
A00245,Synthetic Account 245,Energy,North America,Enterprise,320762493.0,2861
A00246,Synthetic Account 246,Retail,APAC,Commercial,2663411495.0,14974
A00247,Synthetic Account 247,Public Sector,EMEA,Enterprise,1015146321.0,8223
A00248,Synthetic Account 248,Financial Services,Latin America,Enterprise,2455036022.0,19785
A00249,Synthetic Account 249,Retail,APAC,Commercial,416911488.0,2040
A00250,Synthetic Account 250,Retail,APAC,Strategic,2110195881.0,9421
A00251,Synthetic Account 251,Telecommunications,Latin America,Enterprise,1087703207.0,4831
A00252,Synthetic Account 252,Energy,APAC,Enterprise,535953727.0,4809
A00253,Synthetic Account 253,Energy,Latin America,Commercial,663597530.0,5795
A00254,Synthetic Account 254,Healthcare,EMEA,Strategic,946253984.0,6894
A00255,Synthetic Account 255,Energy,Latin America,Enterprise,868128808.0,7132
A00256,Synthetic Account 256,Financial Services,North America,Enterprise,1117555166.0,6587
A00257,Synthetic Account 257,Technology,Latin America,Enterprise,263154818.0,2236
A00258,Synthetic Account 258,Financial Services,North America,Enterprise,1544885850.0,7592
A00259,Synthetic Account 259,Retail,North America,Enterprise,993447787.0,6938
A00260,Synthetic Account 260,Financial Services,North America,Enterprise,1353495804.0,6164
A00261,Synthetic Account 261,Manufacturing,EMEA,Enterprise,3790108234.0,24303
A00262,Synthetic Account 262,Telecommunications,EMEA,Commercial,602466345.0,4015
A00263,Synthetic Account 263,Consumer Goods,EMEA,Strategic,390483832.0,3484
A00264,Synthetic Account 264,Energy,EMEA,Enterprise,315900161.0,1851
A00265,Synthetic Account 265,Retail,APAC,Strategic,624540599.0,5319
A00266,Synthetic Account 266,Technology,Latin America,Enterprise,3702733886.0,20768
A00267,Synthetic Account 267,Automotive,North America,Strategic,4483608485.0,39024
A00268,Synthetic Account 268,Financial Services,APAC,Strategic,4778351325.0,36538
A00269,Synthetic Account 269,Energy,APAC,Strategic,2863049252.0,19237
A00270,Synthetic Account 270,Telecommunications,North America,Strategic,1845569923.0,14471
A00271,Synthetic Account 271,Manufacturing,Latin America,Strategic,2140477848.0,11442
A00272,Synthetic Account 272,Manufacturing,EMEA,Strategic,1239950688.0,6134
A00273,Synthetic Account 273,Financial Services,EMEA,Enterprise,5127386041.0,36702
A00274,Synthetic Account 274,Consumer Goods,North America,Enterprise,2851634618.0,18223
A00275,Synthetic Account 275,Automotive,North America,Enterprise,2430042976.0,15629
A00276,Synthetic Account 276,Retail,Latin America,Enterprise,1608590877.0,12603
A00277,Synthetic Account 277,Manufacturing,Latin America,Enterprise,886276863.0,5305
A00278,Synthetic Account 278,Public Sector,EMEA,Enterprise,656510737.0,5620
A00279,Synthetic Account 279,Financial Services,APAC,Enterprise,2237103703.0,20133
A00280,Synthetic Account 280,Technology,APAC,Commercial,654723737.0,3528
A00281,Synthetic Account 281,Automotive,Latin America,Enterprise,1432919232.0,6330
A00282,Synthetic Account 282,Retail,North America,Enterprise,2497451247.0,14419
A00283,Synthetic Account 283,Automotive,Latin America,Enterprise,844346692.0,6850
A00284,Synthetic Account 284,Automotive,Latin America,Strategic,2827447428.0,17180
A00285,Synthetic Account 285,Manufacturing,EMEA,Strategic,3106765706.0,18414
A00286,Synthetic Account 286,Retail,APAC,Enterprise,761996820.0,6450
A00287,Synthetic Account 287,Public Sector,Latin America,Enterprise,187631704.0,1176
A00288,Synthetic Account 288,Consumer Goods,APAC,Enterprise,439613642.0,2294
A00289,Synthetic Account 289,Energy,EMEA,Strategic,907200711.0,8098
A00290,Synthetic Account 290,Telecommunications,APAC,Commercial,316269885.0,1660
A00291,Synthetic Account 291,Financial Services,Latin America,Enterprise,1109981995.0,7902
A00292,Synthetic Account 292,Public Sector,North America,Enterprise,675231056.0,4812
A00293,Synthetic Account 293,Manufacturing,APAC,Commercial,2223648632.0,15437
A00294,Synthetic Account 294,Technology,North America,Strategic,2073360273.0,17867
A00295,Synthetic Account 295,Telecommunications,APAC,Commercial,688475673.0,6195
A00296,Synthetic Account 296,Public Sector,APAC,Enterprise,1361574137.0,10553
A00297,Synthetic Account 297,Retail,EMEA,Enterprise,1867527084.0,8933
A00298,Synthetic Account 298,Manufacturing,North America,Enterprise,4028207855.0,19965
A00299,Synthetic Account 299,Telecommunications,North America,Commercial,1213905123.0,7923
A00300,Synthetic Account 300,Retail,APAC,Strategic,3265669552.0,14880
A00301,Synthetic Account 301,Energy,EMEA,Enterprise,348273575.0,3101
A00302,Synthetic Account 302,Energy,North America,Enterprise,1233013051.0,6740
A00303,Synthetic Account 303,Consumer Goods,North America,Commercial,903196080.0,4644
A00304,Synthetic Account 304,Healthcare,North America,Strategic,1369678540.0,7240
A00305,Synthetic Account 305,Healthcare,North America,Strategic,535544428.0,2736
A00306,Synthetic Account 306,Automotive,Latin America,Enterprise,3482948477.0,26829
A00307,Synthetic Account 307,Automotive,Latin America,Enterprise,486175909.0,2663
A00308,Synthetic Account 308,Energy,Latin America,Enterprise,846966245.0,7538
A00309,Synthetic Account 309,Manufacturing,EMEA,Strategic,243294889.0,1917
A00310,Synthetic Account 310,Technology,North America,Enterprise,636136103.0,3888
A00311,Synthetic Account 311,Financial Services,EMEA,Strategic,827201244.0,4751
A00312,Synthetic Account 312,Healthcare,APAC,Commercial,808161522.0,6368
A00313,Synthetic Account 313,Automotive,North America,Commercial,50000000.0,500
A00314,Synthetic Account 314,Manufacturing,APAC,Commercial,573094877.0,3325
A00315,Synthetic Account 315,Financial Services,APAC,Commercial,2597383070.0,20817
A00316,Synthetic Account 316,Healthcare,APAC,Enterprise,460120549.0,4003
A00317,Synthetic Account 317,Retail,EMEA,Enterprise,2998512744.0,21458
A00318,Synthetic Account 318,Energy,EMEA,Commercial,1249392632.0,8209
A00319,Synthetic Account 319,Healthcare,North America,Commercial,3179219541.0,25459
A00320,Synthetic Account 320,Retail,APAC,Enterprise,966011477.0,7703
A00321,Synthetic Account 321,Telecommunications,EMEA,Enterprise,700939406.0,3815
A00322,Synthetic Account 322,Telecommunications,EMEA,Strategic,7491669720.0,41538
A00323,Synthetic Account 323,Energy,Latin America,Enterprise,380458361.0,2665
A00324,Synthetic Account 324,Consumer Goods,Latin America,Commercial,205401240.0,1608
A00325,Synthetic Account 325,Consumer Goods,Latin America,Commercial,812606252.0,5407
A00326,Synthetic Account 326,Automotive,APAC,Enterprise,896654264.0,5260
A00327,Synthetic Account 327,Telecommunications,APAC,Enterprise,560111392.0,3990
A00328,Synthetic Account 328,Healthcare,APAC,Enterprise,450083334.0,2174
A00329,Synthetic Account 329,Retail,Latin America,Strategic,378296054.0,2866
A00330,Synthetic Account 330,Manufacturing,EMEA,Strategic,1142013604.0,7089
A00331,Synthetic Account 331,Retail,APAC,Enterprise,298391927.0,1799
A00332,Synthetic Account 332,Technology,APAC,Enterprise,606075666.0,4168
A00333,Synthetic Account 333,Manufacturing,APAC,Strategic,550955403.0,3027
A00334,Synthetic Account 334,Automotive,APAC,Enterprise,824762404.0,4088
A00335,Synthetic Account 335,Technology,EMEA,Enterprise,1744605808.0,8253
A00336,Synthetic Account 336,Public Sector,Latin America,Commercial,136412981.0,929
A00337,Synthetic Account 337,Retail,Latin America,Enterprise,715104635.0,5425
A00338,Synthetic Account 338,Public Sector,EMEA,Commercial,2411451046.0,14641
A00339,Synthetic Account 339,Consumer Goods,North America,Enterprise,427618000.0,2628
A00340,Synthetic Account 340,Energy,EMEA,Strategic,1991695804.0,12494
A00341,Synthetic Account 341,Energy,North America,Strategic,3007499244.0,15000
A00342,Synthetic Account 342,Public Sector,Latin America,Enterprise,506432100.0,3967
A00343,Synthetic Account 343,Technology,North America,Strategic,826090230.0,5607
A00344,Synthetic Account 344,Manufacturing,Latin America,Enterprise,822408152.0,6227
A00345,Synthetic Account 345,Public Sector,EMEA,Enterprise,296734028.0,1697
A00346,Synthetic Account 346,Healthcare,EMEA,Enterprise,2215005643.0,19892
A00347,Synthetic Account 347,Healthcare,EMEA,Commercial,3450842115.0,28263
A00348,Synthetic Account 348,Retail,North America,Enterprise,5619169362.0,25290
A00349,Synthetic Account 349,Public Sector,North America,Enterprise,2582533575.0,19172
A00350,Synthetic Account 350,Healthcare,North America,Enterprise,726010781.0,4570
A00351,Synthetic Account 351,Public Sector,North America,Commercial,1997628359.0,11014
A00352,Synthetic Account 352,Retail,APAC,Enterprise,2246952000.0,18362
A00353,Synthetic Account 353,Telecommunications,APAC,Commercial,2977313677.0,20580
A00354,Synthetic Account 354,Public Sector,North America,Enterprise,424649372.0,3389
A00355,Synthetic Account 355,Automotive,Latin America,Strategic,4502088704.0,37790
A00356,Synthetic Account 356,Healthcare,EMEA,Strategic,673297980.0,5097
A00357,Synthetic Account 357,Manufacturing,Latin America,Strategic,1669702443.0,12141
A00358,Synthetic Account 358,Manufacturing,APAC,Commercial,598215265.0,5284
A00359,Synthetic Account 359,Financial Services,APAC,Enterprise,1372808638.0,10245
