account_id,product_family,deployment,consumption
A00016,Applications,On-Premise,2028967
A00016,Integration,Cloud,1380198
A00017,Infrastructure,On-Premise,1410645
A00017,Database,On-Premise,341355
A00017,Analytics & Data,Cloud,208412
A00017,AI & ML,No Footprint,0
A00017,Security,Cloud,214115
A00017,Applications,Hybrid,423213
A00017,Integration,Hybrid,112528
A00018,Infrastructure,On-Premise,2240288
A00018,Database,Cloud,235649
A00018,Analytics & Data,Cloud,497100
A00018,AI & ML,Cloud,308140
A00018,Security,Cloud,732113
A00018,Applications,No Footprint,0
A00018,Integration,Hybrid,690174
A00019,Infrastructure,Hybrid,594536
A00019,Database,Hybrid,574132
A00019,Analytics & Data,Cloud,2046271
A00019,AI & ML,Cloud,129151
A00019,Security,On-Premise,1508382
A00019,Applications,No Footprint,0
A00019,Integration,Cloud,254723
A00020,Infrastructure,Cloud,1737867
A00020,Database,Hybrid,387558
A00020,Analytics & Data,Cloud,3020875
A00020,AI & ML,No Footprint,0
A00020,Security,Cloud,1024329
A00020,Applications,Cloud,1057860
A00020,Integration,Hybrid,886243
A00021,Infrastructure,Hybrid,512830
A00021,Database,Hybrid,2031079
A00021,Analytics & Data,Hybrid,1078820
A00021,AI & ML,Cloud,666221
A00021,Security,On-Premise,224480
A00021,Applications,On-Premise,250384
A00021,Integration,Hybrid,882629
A00022,Infrastructure,Hybrid,1064120
A00022,Database,Cloud,304595
A00022,Analytics & Data,Cloud,250995
A00022,AI & ML,Cloud,373980
A00022,Security,Hybrid,2722646
A00022,Applications,Cloud,279906
A00022,Integration,No Footprint,0
A00023,Infrastructure,Cloud,723256
A00023,Database,Hybrid,311642
A00023,Analytics & Data,Hybrid,758856
A00023,AI & ML,Cloud,2313957
A00023,Security,On-Premise,133608
A00023,Applications,Hybrid,735543
A00023,Integration,Cloud,499798
A00024,Infrastructure,Hybrid,2522319
A00024,Database,On-Premise,514764
A00024,Analytics & Data,Cloud,1437871
A00024,AI & ML,No Footprint,0
A00024,Security,On-Premise,615960
A00024,Applications,Hybrid,148114
A00024,Integration,Hybrid,885990
A00025,Infrastructure,Hybrid,257772
A00025,Database,Hybrid,280034
A00025,Analytics & Data,Hybrid,2985967
A00025,AI & ML,Cloud,2145522
A00025,Security,Cloud,1191111
A00025,Applications,Cloud,232439
A00025,Integration,No Footprint,0
A00026,Infrastructure,On-Premise,731527
A00026,Database,Hybrid,327919
A00026,Analytics & Data,No Footprint,0
A00026,AI & ML,Cloud,941475
A00026,Security,No Footprint,0
A00026,Applications,On-Premise,1259935
A00026,Integration,Cloud,522640
A00027,Infrastructure,On-Premise,463683
A00027,Database,No Footprint,0
A00027,Analytics & Data,Cloud,210380
A00027,AI & ML,Cloud,1092144
A00027,Security,On-Premise,1464610
A00027,Applications,On-Premise,1025621
A00027,Integration,No Footprint,0
A00028,Infrastructure,Cloud,1260410
A00028,Database,No Footprint,0
A00028,Analytics & Data,No Footprint,0
A00028,AI & ML,No Footprint,0
A00028,Security,No Footprint,0
A00028,Applications,On-Premise,747161
A00028,Integration,Hybrid,208422
A00029,Infrastructure,Cloud,169506
A00029,Database,On-Premise,2411278
A00029,Analytics & Data,Cloud,453555
A00029,AI & ML,Cloud,254551
A00029,Security,No Footprint,0
A00029,Applications,Cloud,1579325
A00029,Integration,Cloud,549144
A00030,Infrastructure,On-Premise,1341927
A00030,Database,Hybrid,470433
A00030,Analytics & Data,Cloud,635933
A00030,AI & ML,Cloud,1088366
A00030,Security,Cloud,706248
A00030,Applications,Hybrid,2009520
A00030,Integration,Cloud,236743
A00031,Infrastructure,Cloud,414279
A00031,Database,On-Premise,1044622
A00031,Analytics & Data,Cloud,1590315
A00031,AI & ML,Cloud,863957
A00031,Security,Hybrid,148531
A00031,Applications,Hybrid,1251094
A00031,Integration,Hybrid,1390240
A00032,Infrastructure,On-Premise,3214723
A00032,Database,Hybrid,1124873
A00032,Analytics & Data,Hybrid,2324221
A00032,AI & ML,Cloud,351606
A00032,Security,Cloud,1174584
A00032,Applications,On-Premise,3082327
A00032,Integration,No Footprint,0
A00033,Infrastructure,No Footprint,0
A00033,Database,Hybrid,5211855
A00033,Analytics & Data,Hybrid,571624
A00033,AI & ML,Cloud,361434
A00033,Security,No Footprint,0
A00033,Applications,Hybrid,1326325
A00033,Integration,Hybrid,500041
A00034,Infrastructure,No Footprint,0
A00034,Database,Hybrid,519331
A00034,Analytics & Data,Cloud,662692
A00034,AI & ML,Cloud,1336702
A00034,Security,Hybrid,260016
A00034,Applications,No Footprint,0
A00034,Integration,No Footprint,0
A00035,Infrastructure,On-Premise,4273171
A00035,Database,Hybrid,720135
A00035,Analytics & Data,Cloud,456957
A00035,AI & ML,Cloud,371030
A00035,Security,Hybrid,220402
A00035,Applications,Hybrid,741185
A00035,Integration,Cloud,109644
A00036,Infrastructure,Hybrid,337622
A00036,Database,On-Premise,139568
A00036,Analytics & Data,No Footprint,0
A00036,AI & ML,Cloud,2144203
A00036,Security,Hybrid,10311978
A00036,Applications,No Footprint,0
A00036,Integration,Cloud,589843
A00037,Infrastructure,No Footprint,0
A00037,Database,Cloud,1573699
A00037,Analytics & Data,Cloud,576944
A00037,AI & ML,Cloud,1562585
A00037,Security,On-Premise,590918
A00037,Applications,No Footprint,0
A00037,Integration,Cloud,3298428
A00038,Infrastructure,Cloud,1283898
A00038,Database,No Footprint,0
A00038,Analytics & Data,Hybrid,667649
A00038,AI & ML,Cloud,1569857
A00038,Security,On-Premise,490470
A00038,Applications,On-Premise,205718
A00038,Integration,Hybrid,2717794
A00039,Infrastructure,On-Premise,207603
A00039,Database,No Footprint,0
A00039,Analytics & Data,No Footprint,0
A00039,AI & ML,No Footprint,0
A00039,Security,On-Premise,3614907
A00039,Applications,Hybrid,2667907
A00039,Integration,No Footprint,0
A00040,Infrastructure,On-Premise,964234
A00040,Database,No Footprint,0
A00040,Analytics & Data,No Footprint,0
A00040,AI & ML,No Footprint,0
A00040,Security,Cloud,1099510
A00040,Applications,Cloud,1383822
A00040,Integration,Hybrid,334674
A00041,Infrastructure,Hybrid,676380
A00041,Database,On-Premise,372074
A00041,Analytics & Data,No Footprint,0
A00041,AI & ML,Cloud,1864478
A00041,Security,No Footprint,0
A00041,Applications,No Footprint,0
A00041,Integration,Hybrid,1355365
A00042,Infrastructure,On-Premise,194080
A00042,Database,On-Premise,2409935
A00042,Analytics & Data,Cloud,708103
A00042,AI & ML,Cloud,357686
A00042,Security,On-Premise,1697618
A00042,Applications,Hybrid,2078585
A00042,Integration,Hybrid,568229
A00043,Infrastructure,No Footprint,0
A00043,Database,No Footprint,0
A00043,Analytics & Data,Hybrid,254273
A00043,AI & ML,No Footprint,0
A00043,Security,Hybrid,1450765
A00043,Applications,No Footprint,0
A00043,Integration,No Footprint,0
A00044,Infrastructure,No Footprint,0
A00044,Database,On-Premise,509266
A00044,Analytics & Data,No Footprint,0
A00044,AI & ML,Cloud,1310669
A00044,Security,Cloud,513036
A00044,Applications,Hybrid,726503
A00044,Integration,No Footprint,0
A00045,Infrastructure,On-Premise,695229
A00045,Database,No Footprint,0
A00045,Analytics & Data,Cloud,2787582
A00045,AI & ML,Cloud,1080354
A00045,Security,No Footprint,0
A00045,Applications,Hybrid,948412
A00045,Integration,No Footprint,0
A00046,Infrastructure,No Footprint,0
A00046,Database,On-Premise,832266
A00046,Analytics & Data,Hybrid,1315876
A00046,AI & ML,Cloud,2415903
A00046,Security,Cloud,1691697
A00046,Applications,No Footprint,0
A00046,Integration,Hybrid,552874
A00047,Infrastructure,On-Premise,194379
A00047,Database,On-Premise,1850793
A00047,Analytics & Data,Hybrid,590836
A00047,AI & ML,No Footprint,0
A00047,Security,Hybrid,170129
A00047,Applications,No Footprint,0
A00047,Integration,Cloud,870174
A00048,Infrastructure,No Footprint,0
A00048,Database,Cloud,420616
A00048,Analytics & Data,Cloud,1458265
A00048,AI & ML,Cloud,430813
A00048,Security,Hybrid,1146817
A00048,Applications,Cloud,580473
A00048,Integration,Cloud,2833032
A00049,Infrastructure,No Footprint,0
A00049,Database,Hybrid,307748
A00049,Analytics & Data,No Footprint,0
A00049,AI & ML,Cloud,2762975
A00049,Security,No Footprint,0
A00049,Applications,On-Premise,659412
A00049,Integration,Hybrid,1121903
A00050,Infrastructure,On-Premise,501188
A00050,Database,On-Premise,2340639
A00050,Analytics & Data,Hybrid,847940
A00050,AI & ML,No Footprint,0
A00050,Security,On-Premise,1610372
A00050,Applications,No Footprint,0
A00050,Integration,Hybrid,657496
A00051,Infrastructure,On-Premise,7868394
A00051,Database,Hybrid,2327412
A00051,Analytics & Data,No Footprint,0
A00051,AI & ML,Cloud,1498057
A00051,Security,Cloud,961682
A00051,Applications,On-Premise,900506
A00051,Integration,Hybrid,1273164
A00052,Infrastructure,Cloud,655828
A00052,Database,Hybrid,3744003
A00052,Analytics & Data,Cloud,2035187
A00052,AI & ML,No Footprint,0
A00052,Security,Cloud,993930
A00052,Applications,No Footprint,0
A00052,Integration,Cloud,212065
A00053,Infrastructure,Cloud,315078
A00053,Database,Cloud,2212953
A00053,Analytics & Data,Cloud,749784
A00053,AI & ML,Cloud,888604
A00053,Security,Hybrid,952522
A00053,Applications,Hybrid,385214
A00053,Integration,Hybrid,422214
A00054,Infrastructure,No Footprint,0
A00054,Database,Hybrid,517058
A00054,Analytics & Data,No Footprint,0
A00054,AI & ML,No Footprint,0
A00054,Security,Hybrid,202940
A00054,Applications,Cloud,3890150
A00054,Integration,Cloud,2001216
A00055,Infrastructure,On-Premise,736951
A00055,Database,Hybrid,679690
A00055,Analytics & Data,No Footprint,0
A00055,AI & ML,Cloud,138187
A00055,Security,On-Premise,1682572
A00055,Applications,Cloud,723108
A00055,Integration,Cloud,4169119
A00056,Infrastructure,Cloud,778535
A00056,Database,Cloud,384930
A00056,Analytics & Data,Hybrid,452998
A00056,AI & ML,No Footprint,0
A00056,Security,Hybrid,330475
A00056,Applications,Cloud,270374
A00056,Integration,Cloud,419366
A00057,Infrastructure,No Footprint,0
A00057,Database,Cloud,269280
A00057,Analytics & Data,Hybrid,716200
A00057,AI & ML,No Footprint,0
A00057,Security,Cloud,1369475
A00057,Applications,No Footprint,0
A00057,Integration,No Footprint,0
A00058,Infrastructure,No Footprint,0
A00058,Database,On-Premise,784924
A00058,Analytics & Data,No Footprint,0
A00058,AI & ML,Cloud,575230
A00058,Security,No Footprint,0
A00058,Applications,Cloud,1918694
A00058,Integration,No Footprint,0
A00059,Infrastructure,On-Premise,879846
A00059,Database,No Footprint,0
A00059,Analytics & Data,Hybrid,1368771
A00059,AI & ML,Cloud,1131412
A00059,Security,Hybrid,128052
A00059,Applications,On-Premise,343125
A00059,Integration,Cloud,160270
A00060,Infrastructure,Cloud,666108
A00060,Database,No Footprint,0
A00060,Analytics & Data,Cloud,127910
A00060,AI & ML,Cloud,602761
A00060,Security,Cloud,116212
A00060,Applications,No Footprint,0
A00060,Integration,Hybrid,1832124
A00061,Infrastructure,On-Premise,1466537
A00061,Database,Hybrid,2085142
A00061,Analytics & Data,Hybrid,1303392
A00061,AI & ML,No Footprint,0
A00061,Security,Cloud,2808731
A00061,Applications,Cloud,400477
A00061,Integration,No Footprint,0
A00062,Infrastructure,No Footprint,0
A00062,Database,On-Premise,538263
A00062,Analytics & Data,No Footprint,0
A00062,AI & ML,Cloud,583136
A00062,Security,Cloud,998453
A00062,Applications,Hybrid,1208493
A00062,Integration,Cloud,1390329
A00063,Infrastructure,Cloud,658356
A00063,Database,No Footprint,0
A00063,Analytics & Data,Hybrid,2349290
A00063,AI & ML,Cloud,585939
A00063,Security,Cloud,189977
A00063,Applications,On-Premise,1027835
A00063,Integration,Cloud,2647499
A00064,Infrastructure,On-Premise,600140
A00064,Database,Hybrid,1033858
A00064,Analytics & Data,No Footprint,0
A00064,AI & ML,No Footprint,0
A00064,Security,Hybrid,774257
A00064,Applications,No Footprint,0
A00064,Integration,No Footprint,0
A00065,Infrastructure,No Footprint,0
A00065,Database,Cloud,1548923
A00065,Analytics & Data,Hybrid,2670627
A00065,AI & ML,No Footprint,0
A00065,Security,On-Premise,1397070
A00065,Applications,Hybrid,1275603
A00065,Integration,Cloud,203327
A00066,Infrastructure,Cloud,395061
A00066,Database,On-Premise,609725
A00066,Analytics & Data,Cloud,294164
A00066,AI & ML,Cloud,1283691
A00066,Security,Cloud,567207
A00066,Applications,On-Premise,219811
A00066,Integration,No Footprint,0
A00067,Infrastructure,On-Premise,1065901
A00067,Database,No Footprint,0
A00067,Analytics & Data,Hybrid,3165028
A00067,AI & ML,Cloud,1098841
A00067,Security,Cloud,1341026
A00067,Applications,On-Premise,462405
A00067,Integration,No Footprint,0
A00068,Infrastructure,Hybrid,1334212
A00068,Database,No Footprint,0
A00068,Analytics & Data,No Footprint,0
A00068,AI & ML,Cloud,544954
A00068,Security,No Footprint,0
A00068,Applications,Hybrid,1052266
A00068,Integration,No Footprint,0
A00069,Infrastructure,Cloud,1837887
A00069,Database,No Footprint,0
A00069,Analytics & Data,No Footprint,0
A00069,AI & ML,No Footprint,0
A00069,Security,No Footprint,0
A00069,Applications,Cloud,848879
A00069,Integration,Cloud,3528818
A00070,Infrastructure,Hybrid,1630087
A00070,Database,Hybrid,4083469
A00070,Analytics & Data,Hybrid,681537
A00070,AI & ML,Cloud,448059
A00070,Security,On-Premise,462898
A00070,Applications,Cloud,1280642
A00070,Integration,Cloud,280575
A00071,Infrastructure,Cloud,375811
A00071,Database,On-Premise,622326
A00071,Analytics & Data,Hybrid,515433
A00071,AI & ML,Cloud,1361146
A00071,Security,Hybrid,570200
A00071,Applications,Hybrid,1766654
A00071,Integration,No Footprint,0
A00072,Infrastructure,On-Premise,888484
A00072,Database,Cloud,409408
A00072,Analytics & Data,Cloud,374992
A00072,AI & ML,Cloud,647860
A00072,Security,Hybrid,644910
A00072,Applications,Cloud,489091
A00072,Integration,Hybrid,481237
A00073,Infrastructure,No Footprint,0
A00073,Database,Hybrid,857564
A00073,Analytics & Data,No Footprint,0
A00073,AI & ML,Cloud,315913
A00073,Security,Hybrid,312931
A00073,Applications,Hybrid,980430
A00073,Integration,No Footprint,0
A00074,Infrastructure,On-Premise,913470
A00074,Database,Cloud,473287
A00074,Analytics & Data,Hybrid,508515
A00074,AI & ML,No Footprint,0
A00074,Security,Cloud,284907
A00074,Applications,On-Premise,1609794
A00074,Integration,Cloud,982933
A00075,Infrastructure,On-Premise,2427212
A00075,Database,On-Premise,2381917
A00075,Analytics & Data,Cloud,307558
A00075,AI & ML,Cloud,971664
A00075,Security,No Footprint,0
A00075,Applications,On-Premise,911259
A00075,Integration,No Footprint,0
A00076,Infrastructure,No Footprint,0
A00076,Database,No Footprint,0
A00076,Analytics & Data,No Footprint,0
A00076,AI & ML,Cloud,630577
A00076,Security,Cloud,386412
A00076,Applications,Hybrid,414966
A00076,Integration,No Footprint,0
A00077,Infrastructure,Cloud,251295
A00077,Database,No Footprint,0
A00077,Analytics & Data,Hybrid,545739
A00077,AI & ML,Cloud,909557
A00077,Security,On-Premise,893982
A00077,Applications,On-Premise,9184144
A00077,Integration,No Footprint,0
A00078,Infrastructure,Hybrid,353863
A00078,Database,On-Premise,1050846
A00078,Analytics & Data,Hybrid,1162839
A00078,AI & ML,Cloud,747078
A00078,Security,Cloud,2463853
A00078,Applications,No Footprint,0
A00078,Integration,No Footprint,0
A00079,Infrastructure,No Footprint,0
A00079,Database,Hybrid,270447
A00079,Analytics & Data,No Footprint,0
A00079,AI & ML,Cloud,738714
A00079,Security,On-Premise,1266752
A00079,Applications,No Footprint,0
A00079,Integration,Hybrid,1272001
A00080,Infrastructure,On-Premise,1336264
A00080,Database,On-Premise,1458514
A00080,Analytics & Data,Hybrid,640474
A00080,AI & ML,Cloud,556751
A00080,Security,Hybrid,1975454
A00080,Applications,Hybrid,1892595
A00080,Integration,Cloud,1469185
A00081,Infrastructure,No Footprint,0
A00081,Database,On-Premise,779345
A00081,Analytics & Data,Cloud,331664
A00081,AI & ML,No Footprint,0
A00081,Security,On-Premise,103291
A00081,Applications,On-Premise,751224
A00081,Integration,Hybrid,84900
A00082,Infrastructure,On-Premise,693910
A00082,Database,On-Premise,1029067
A00082,Analytics & Data,Hybrid,533696
A00082,AI & ML,Cloud,1707885
A00082,Security,No Footprint,0
A00082,Applications,Cloud,235796
A00082,Integration,Cloud,499684
A00083,Infrastructure,On-Premise,344857
A00083,Database,Cloud,1687834
A00083,Analytics & Data,Cloud,465658
A00083,AI & ML,No Footprint,0
A00083,Security,Hybrid,282387
A00083,Applications,Hybrid,498400
A00083,Integration,Cloud,1020611
A00084,Infrastructure,Hybrid,1674013
A00084,Database,Cloud,201043
A00084,Analytics & Data,Cloud,159913
A00084,AI & ML,Cloud,808938
A00084,Security,On-Premise,1135431
A00084,Applications,No Footprint,0
A00084,Integration,Hybrid,1768720
A00085,Infrastructure,On-Premise,3072326
A00085,Database,No Footprint,0
A00085,Analytics & Data,Hybrid,933112
A00085,AI & ML,Cloud,884159
A00085,Security,Hybrid,1324258
A00085,Applications,Cloud,287551
A00085,Integration,Hybrid,2798815
A00086,Infrastructure,Hybrid,746792
A00086,Database,No Footprint,0
A00086,Analytics & Data,Cloud,444698
A00086,AI & ML,No Footprint,0
A00086,Security,Cloud,131156
A00086,Applications,Hybrid,687097
A00086,Integration,Hybrid,360774
A00087,Infrastructure,No Footprint,0
A00087,Database,Hybrid,569087
A00087,Analytics & Data,Cloud,832501
A00087,AI & ML,No Footprint,0
A00087,Security,Hybrid,2555044
A00087,Applications,Cloud,1235091
A00087,Integration,Cloud,1432149
A00088,Infrastructure,Hybrid,1099198
A00088,Database,On-Premise,625551
A00088,Analytics & Data,Hybrid,1236384
A00088,AI & ML,Cloud,764045
A00088,Security,Cloud,2094946
A00088,Applications,Cloud,565586
A00088,Integration,Cloud,199118
A00089,Infrastructure,On-Premise,5926825
A00089,Database,On-Premise,279184
A00089,Analytics & Data,Cloud,808933
A00089,AI & ML,Cloud,1195341
A00089,Security,No Footprint,0
A00089,Applications,Cloud,158558
A00089,Integration,Cloud,910589
A00090,Infrastructure,Hybrid,1605942
A00090,Database,No Footprint,0
A00090,Analytics & Data,Cloud,980116
A00090,AI & ML,Cloud,693459
A00090,Security,On-Premise,134161
A00090,Applications,Hybrid,535533
A00090,Integration,Hybrid,1417391
A00091,Infrastructure,No Footprint,0
A00091,Database,Hybrid,411357
A00091,Analytics & Data,No Footprint,0
A00091,AI & ML,Cloud,797028
A00091,Security,Hybrid,3764714
A00091,Applications,Cloud,324432
A00091,Integration,No Footprint,0
A00092,Infrastructure,Cloud,157652
A00092,Database,Hybrid,176836
A00092,Analytics & Data,Cloud,2229479
A00092,AI & ML,Cloud,313034
A00092,Security,No Footprint,0
A00092,Applications,No Footprint,0
A00092,Integration,No Footprint,0
A00093,Infrastructure,Hybrid,1204132
A00093,Database,No Footprint,0
A00093,Analytics & Data,No Footprint,0
A00093,AI & ML,Cloud,1122806
A00093,Security,Hybrid,585368
A00093,Applications,Cloud,789052
A00093,Integration,No Footprint,0
A00094,Infrastructure,On-Premise,247960
A00094,Database,Cloud,416704
A00094,Analytics & Data,Hybrid,1667262
A00094,AI & ML,Cloud,1134711
A00094,Security,No Footprint,0
A00094,Applications,Hybrid,768497
A00094,Integration,Hybrid,1509277
A00095,Infrastructure,On-Premise,2283476
A00095,Database,On-Premise,3719026
A00095,Analytics & Data,Cloud,1417802
A00095,AI & ML,No Footprint,0
A00095,Security,Hybrid,576376
A00095,Applications,No Footprint,0
A00095,Integration,No Footprint,0
A00096,Infrastructure,Hybrid,1163814
A00096,Database,On-Premise,2763878
A00096,Analytics & Data,No Footprint,0
A00096,AI & ML,Cloud,1282851
A00096,Security,Cloud,2552200
A00096,Applications,Cloud,722309
A00096,Integration,Cloud,315259
A00097,Infrastructure,No Footprint,0
A00097,Database,No Footprint,0
A00097,Analytics & Data,No Footprint,0
A00097,AI & ML,No Footprint,0
A00097,Security,Hybrid,189798
A00097,Applications,On-Premise,266282
A00097,Integration,No Footprint,0
A00098,Infrastructure,On-Premise,640842
A00098,Database,On-Premise,1108704
A00098,Analytics & Data,Hybrid,654189
A00098,AI & ML,Cloud,1432617
A00098,Security,Cloud,189024
A00098,Applications,Cloud,842258
A00098,Integration,Hybrid,1284072
A00099,Infrastructure,Cloud,1393312
A00099,Database,On-Premise,484555
A00099,Analytics & Data,Cloud,445693
A00099,AI & ML,No Footprint,0
A00099,Security,Hybrid,153532
A00099,Applications,On-Premise,1086826
A00099,Integration,No Footprint,0
A00100,Infrastructure,Cloud,786697
A00100,Database,Cloud,1466616
A00100,Analytics & Data,Cloud,533547
A00100,AI & ML,Cloud,581406
A00100,Security,No Footprint,0
A00100,Applications,No Footprint,0
A00100,Integration,No Footprint,0
A00101,Infrastructure,Cloud,897844
A00101,Database,Cloud,1023460
A00101,Analytics & Data,Hybrid,729385
A00101,AI & ML,Cloud,378233
A00101,Security,On-Premise,258815
A00101,Applications,Hybrid,1417047
A00101,Integration,Cloud,988702
A00102,Infrastructure,On-Premise,144271
A00102,Database,Cloud,323177
A00102,Analytics & Data,Cloud,643579
A00102,AI & ML,Cloud,2048113
A00102,Security,On-Premise,774671
A00102,Applications,Cloud,408198
A00102,Integration,No Footprint,0
A00103,Infrastructure,Cloud,470434
A00103,Database,On-Premise,444265
A00103,Analytics & Data,Cloud,572512
A00103,AI & ML,Cloud,382638
A00103,Security,On-Premise,603536
A00103,Applications,Cloud,1014764
A00103,Integration,No Footprint,0
A00104,Infrastructure,No Footprint,0
A00104,Database,Hybrid,744176
A00104,Analytics & Data,No Footprint,0
A00104,AI & ML,No Footprint,0
A00104,Security,On-Premise,859717
A00104,Applications,On-Premise,2637429
A00104,Integration,Hybrid,967674
A00105,Infrastructure,Cloud,1854362
A00105,Database,Hybrid,1724914
A00105,Analytics & Data,Hybrid,651586
A00105,AI & ML,No Footprint,0
A00105,Security,Hybrid,961131
A00105,Applications,No Footprint,0
A00105,Integration,Hybrid,3543531
A00106,Infrastructure,On-Premise,1037217
A00106,Database,No Footprint,0
A00106,Analytics & Data,No Footprint,0
A00106,AI & ML,No Footprint,0
A00106,Security,On-Premise,773094
A00106,Applications,On-Premise,5313553
A00106,Integration,Hybrid,534679
A00107,Infrastructure,Cloud,1102244
A00107,Database,Cloud,503217
A00107,Analytics & Data,Cloud,452731
A00107,AI & ML,Cloud,860642
A00107,Security,On-Premise,1265699
A00107,Applications,Cloud,230406
A00107,Integration,No Footprint,0
A00108,Infrastructure,On-Premise,475913
A00108,Database,Hybrid,337984
A00108,Analytics & Data,Cloud,492552
A00108,AI & ML,Cloud,1622916
A00108,Security,On-Premise,2540102
A00108,Applications,Cloud,979671
A00108,Integration,Hybrid,2187108
A00109,Infrastructure,On-Premise,186574
A00109,Database,Hybrid,511853
A00109,Analytics & Data,Cloud,1921996
A00109,AI & ML,Cloud,743830
A00109,Security,On-Premise,2447336
A00109,Applications,Hybrid,175425
A00109,Integration,Hybrid,231811
A00110,Infrastructure,Cloud,1130748
A00110,Database,Hybrid,542377
A00110,Analytics & Data,Hybrid,1772624
A00110,AI & ML,Cloud,618653
A00110,Security,On-Premise,587825
A00110,Applications,Hybrid,358468
A00110,Integration,Cloud,299887
A00111,Infrastructure,Cloud,1280115
A00111,Database,Cloud,1068165
A00111,Analytics & Data,No Footprint,0
A00111,AI & ML,Cloud,3235626
A00111,Security,Cloud,670313
A00111,Applications,Hybrid,130539
A00111,Integration,Cloud,4953538
A00112,Infrastructure,Hybrid,2780940
A00112,Database,Hybrid,1370548
A00112,Analytics & Data,No Footprint,0
A00112,AI & ML,Cloud,1269637
A00112,Security,Cloud,353506
A00112,Applications,No Footprint,0
A00112,Integration,No Footprint,0
A00113,Infrastructure,Hybrid,284365
A00113,Database,On-Premise,1296603
A00113,Analytics & Data,Cloud,352528
A00113,AI & ML,No Footprint,0
A00113,Security,No Footprint,0
