account_id,channel,days_ago
A00028,Campaign,1
A00028,Product Page,48
A00028,Event,39
A00028,Webinar,229
A00028,Website,81
A00028,Webinar,196
A00028,Website,211
A00028,Product Page,156
A00028,Campaign,140
A00028,Event,66
A00029,Website,51
A00029,Webinar,164
A00029,Product Page,25
A00029,Campaign,197
A00029,Campaign,1
A00029,Campaign,134
A00029,Product Page,152
A00029,Campaign,320
A00029,Webinar,47
A00029,Product Page,77
A00029,Webinar,132
A00029,Campaign,34
A00029,Event,191
A00029,Website,53
A00030,Event,173
A00030,Campaign,169
A00030,Webinar,205
A00030,Product Page,97
A00030,Website,302
A00030,Event,130
A00030,Product Page,145
A00030,Website,104
A00031,Campaign,118
A00031,Webinar,170
A00031,Website,214
A00031,Event,33
A00031,Campaign,31
A00031,Website,153
A00031,Campaign,106
A00031,Product Page,184
A00031,Webinar,94
A00032,Website,124
A00032,Event,147
A00032,Product Page,154
A00032,Webinar,231
A00032,Website,167
A00032,Website,155
A00032,Campaign,228
A00032,Webinar,131
A00033,Product Page,138
A00033,Website,166
A00033,Campaign,193
A00033,Product Page,214
A00033,Campaign,141
A00033,Event,61
A00033,Campaign,54
A00033,Website,2
A00033,Event,126
A00033,Product Page,162
A00033,Webinar,20
A00033,Product Page,140
A00033,Campaign,78
A00033,Event,93
A00034,Event,168
A00034,Campaign,155
A00034,Event,177
A00034,Campaign,235
A00034,Event,179
A00034,Website,176
A00034,Campaign,151
A00034,Website,229
A00034,Product Page,229
A00034,Website,129
A00034,Website,223
A00034,Campaign,164
A00035,Webinar,53
A00035,Campaign,155
A00035,Webinar,1
A00035,Product Page,115
A00035,Event,114
A00035,Webinar,145
A00035,Website,100
A00035,Product Page,237
A00035,Product Page,82
A00035,Event,1
A00036,Website,132
A00036,Event,92
A00036,Product Page,201
A00036,Event,249
A00036,Webinar,123
A00037,Campaign,152
A00037,Campaign,54
A00037,Webinar,145
A00037,Webinar,177
A00037,Event,183
A00037,Campaign,15
A00037,Product Page,186
A00037,Webinar,221
A00037,Webinar,183
A00037,Event,136
A00037,Event,39
A00037,Website,137
A00037,Campaign,98
A00037,Website,19
A00038,Event,139
A00038,Webinar,275
A00038,Product Page,70
A00038,Product Page,3
A00038,Event,241
A00038,Webinar,39
A00038,Product Page,170
A00038,Event,49
A00038,Website,253
A00038,Event,216
A00038,Website,106
A00038,Website,1
A00038,Website,190
A00038,Event,152
A00039,Event,39
A00039,Campaign,116
A00039,Webinar,81
A00039,Webinar,8
A00039,Campaign,94
A00039,Webinar,177
A00039,Event,75
A00039,Website,40
A00039,Campaign,64
A00039,Event,1
A00039,Webinar,89
A00039,Website,30
A00039,Campaign,127
A00039,Event,1
A00039,Event,75
A00040,Campaign,126
A00040,Campaign,122
A00040,Product Page,21
A00040,Product Page,98
A00040,Product Page,109
A00040,Campaign,57
A00040,Event,123
A00040,Website,1
A00040,Event,136
A00040,Webinar,92
A00040,Website,125
A00040,Product Page,150
A00040,Website,121
A00041,Campaign,59
A00041,Campaign,124
A00041,Website,103
A00041,Website,93
A00041,Website,105
A00041,Event,148
A00041,Webinar,243
A00041,Event,61
A00041,Event,172
A00041,Event,184
A00041,Campaign,205
A00041,Campaign,170
A00042,Event,171
A00042,Website,64
A00042,Campaign,37
A00042,Website,211
A00042,Website,67
A00043,Website,14
A00043,Website,118
A00043,Product Page,147
A00043,Webinar,203
A00043,Product Page,159
A00043,Website,169
A00043,Webinar,172
A00044,Webinar,245
A00044,Website,110
A00044,Campaign,55
A00044,Campaign,218
A00044,Campaign,106
A00045,Event,56
A00045,Webinar,6
A00045,Event,79
A00045,Campaign,157
A00045,Webinar,121
A00045,Product Page,86
A00045,Event,60
A00045,Event,11
A00046,Product Page,9
A00046,Campaign,115
A00046,Product Page,69
A00046,Website,143
A00046,Product Page,235
A00046,Product Page,120
A00046,Webinar,83
A00046,Website,1
A00046,Campaign,40
A00046,Webinar,85
A00046,Event,228
A00046,Campaign,248
A00046,Product Page,18
A00046,Event,20
A00046,Product Page,26
A00046,Website,131
A00046,Product Page,155
A00046,Product Page,104
A00046,Webinar,25
A00047,Webinar,11
A00047,Campaign,244
A00047,Webinar,78
A00048,Event,98
A00048,Campaign,46
A00048,Website,18
A00048,Website,65
A00048,Campaign,258
A00048,Product Page,104
A00048,Website,105
A00048,Campaign,184
A00048,Product Page,113
A00049,Campaign,153
A00049,Webinar,1
A00049,Webinar,132
A00049,Product Page,150
A00049,Event,207
A00049,Event,95
A00049,Event,143
A00049,Website,21
A00049,Product Page,181
A00049,Product Page,242
A00049,Website,37
A00049,Website,50
A00049,Product Page,77
A00049,Product Page,141
A00049,Webinar,1
A00049,Website,137
A00049,Campaign,122
A00050,Campaign,74
A00050,Product Page,112
A00050,Product Page,135
A00050,Website,259
A00051,Campaign,106
A00051,Campaign,150
A00051,Campaign,69
A00051,Product Page,13
A00051,Webinar,161
A00051,Campaign,187
A00051,Webinar,142
A00052,Webinar,150
A00052,Event,72
A00052,Product Page,1
A00052,Event,105
A00052,Webinar,214
A00052,Product Page,182
A00052,Product Page,259
A00052,Webinar,225
A00052,Product Page,230
A00052,Webinar,130
A00052,Webinar,99
A00053,Event,127
A00053,Webinar,132
A00053,Website,274
A00053,Webinar,127
A00053,Campaign,174
A00053,Campaign,109
A00054,Event,106
A00054,Website,212
A00054,Website,277
A00054,Event,63
A00055,Website,34
A00055,Webinar,1
A00055,Webinar,1
A00055,Event,14
A00055,Campaign,134
A00055,Product Page,106
A00055,Product Page,15
A00055,Webinar,150
A00055,Product Page,74
A00055,Webinar,134
A00055,Webinar,147
A00055,Event,20
A00056,Product Page,197
A00056,Event,75
A00056,Webinar,1
A00056,Webinar,156
A00056,Product Page,75
A00056,Event,209
A00056,Product Page,11
A00056,Website,137
A00056,Website,22
A00056,Product Page,86
A00056,Campaign,190
A00056,Event,80
A00056,Event,22
A00056,Campaign,82
A00056,Website,95
A00057,Event,82
A00057,Event,1
A00057,Website,106
A00057,Webinar,259
A00057,Campaign,1
A00057,Website,63
A00057,Product Page,182
A00057,Event,126
A00057,Event,54
A00057,Event,22
A00058,Event,215
A00058,Webinar,41
A00058,Webinar,287
A00058,Website,165
A00058,Webinar,210
A00059,Campaign,82
A00059,Product Page,190
A00059,Campaign,75
A00059,Product Page,41
A00059,Webinar,264
A00059,Webinar,181
A00059,Website,168
A00059,Website,73
A00059,Campaign,187
A00059,Website,198
A00060,Product Page,100
A00060,Webinar,192
A00060,Website,340
A00060,Product Page,113
A00060,Website,120
A00060,Website,155
A00060,Website,54
A00060,Campaign,4
A00061,Product Page,76
A00061,Event,45
A00061,Campaign,1
A00061,Event,33
A00061,Campaign,96
A00061,Webinar,64
A00061,Webinar,166
A00061,Campaign,73
A00061,Website,131
A00061,Website,143
A00061,Webinar,17
A00061,Campaign,74
A00061,Website,160
A00061,Event,64
A00062,Webinar,86
A00062,Event,79
A00062,Campaign,142
A00062,Campaign,136
A00062,Product Page,190
A00062,Website,124
A00062,Event,44
A00062,Product Page,55
A00062,Product Page,163
A00062,Campaign,79
A00062,Product Page,43
A00062,Webinar,53
A00062,Product Page,143
A00062,Website,115
A00063,Webinar,159
A00063,Product Page,40
A00063,Webinar,168
A00063,Product Page,2
A00063,Website,122
A00063,Webinar,102
A00063,Webinar,164
A00063,Event,149
A00064,Webinar,123
A00064,Event,169
A00064,Product Page,189
A00064,Event,147
A00064,Campaign,165
A00064,Product Page,144
A00064,Webinar,118
A00064,Website,163
A00064,Product Page,24
A00064,Website,132
A00064,Product Page,179
A00064,Product Page,196
A00065,Webinar,126
A00065,Webinar,116
A00065,Webinar,27
A00065,Event,109
A00065,Event,197
A00065,Event,211
A00065,Event,85
A00065,Product Page,38
A00066,Website,55
A00066,Campaign,60
A00066,Event,18
A00066,Campaign,81
A00066,Campaign,126
A00066,Campaign,171
A00066,Campaign,16
A00066,Event,1
A00066,Webinar,1
A00066,Campaign,90
A00066,Website,54
A00066,Webinar,1
A00066,Event,82
A00067,Campaign,188
A00067,Website,1
A00067,Product Page,69
A00067,Campaign,244
A00067,Event,198
A00067,Website,21
A00067,Event,137
A00068,Webinar,113
A00068,Website,63
A00068,Website,254
A00068,Event,154
A00068,Webinar,245
A00068,Webinar,102
A00068,Website,77
A00068,Website,181
A00068,Event,158
A00068,Product Page,101
A00069,Event,138
A00069,Webinar,146
A00069,Event,174
A00069,Webinar,179
A00069,Product Page,45
A00069,Website,129
A00069,Event,78
A00069,Website,84
A00069,Product Page,211
A00069,Website,197
A00069,Webinar,181
A00070,Product Page,228
A00070,Webinar,12
A00070,Website,120
A00070,Webinar,132
A00070,Event,86
A00070,Webinar,163
A00071,Product Page,120
A00071,Event,184
A00071,Event,188
A00071,Event,83
A00071,Website,130
A00071,Event,14
A00071,Campaign,137
A00071,Website,97
A00071,Campaign,56
A00071,Webinar,186
A00071,Product Page,90
A00071,Website,183
A00071,Campaign,59
A00071,Event,211
A00072,Website,83
A00072,Campaign,61
A00072,Event,120
A00072,Product Page,212
A00072,Event,89
A00073,Website,11
A00073,Webinar,55
A00073,Webinar,32
A00073,Campaign,97
A00073,Campaign,206
A00073,Campaign,122
A00073,Event,1
A00073,Event,2
A00073,Campaign,71
A00074,Event,77
A00074,Product Page,109
A00074,Event,125
A00074,Product Page,47
A00074,Event,69
A00074,Webinar,211
A00074,Event,55
A00074,Webinar,200
A00074,Event,24
A00074,Website,154
A00074,Webinar,21
A00074,Website,80
A00075,Product Page,44
A00075,Webinar,200
A00075,Event,110
A00075,Campaign,164
A00075,Product Page,96
A00075,Product Page,133
A00076,Website,38
A00076,Product Page,94
A00076,Product Page,1
A00076,Webinar,117
A00076,Website,38
A00076,Campaign,1
A00076,Product Page,113
A00076,Event,14
A00076,Campaign,45
A00076,Website,20
A00077,Website,142
A00077,Campaign,234
A00077,Product Page,211
A00077,Event,84
A00077,Campaign,97
A00077,Campaign,57
A00077,Event,55
A00077,Website,98
A00077,Webinar,156
A00077,Product Page,206
A00078,Event,62
A00078,Webinar,61
A00078,Webinar,187
A00078,Webinar,182
A00078,Webinar,204
A00078,Campaign,235
A00078,Product Page,5
A00078,Website,38
A00078,Product Page,189
A00078,Webinar,121
A00078,Campaign,167
A00078,Product Page,129
A00078,Campaign,64
A00078,Webinar,62
A00079,Campaign,90
A00079,Event,53
A00079,Product Page,128
A00079,Event,133
A00079,Product Page,45
A00079,Website,187
A00079,Website,1
A00079,Event,119
A00079,Webinar,70
A00079,Product Page,1
A00079,Webinar,1
A00079,Webinar,63
A00079,Webinar,13
A00079,Campaign,1
A00079,Product Page,56
A00079,Website,1
A00079,Website,82
A00079,Product Page,3
A00079,Website,39
A00079,Event,78
A00080,Webinar,76
A00080,Website,164
A00080,Webinar,79
A00080,Webinar,88
A00080,Event,185
A00080,Product Page,176
A00080,Event,228
A00080,Event,123
A00080,Webinar,32
A00080,Event,136
A00080,Product Page,227
A00080,Website,101
A00080,Webinar,23
A00081,Webinar,8
A00081,Website,44
A00081,Webinar,60
A00081,Event,120
A00081,Product Page,275
A00081,Webinar,103
A00082,Website,105
A00082,Webinar,230
A00082,Webinar,97
A00082,Campaign,116
A00082,Event,180
A00082,Webinar,66
A00082,Event,80
A00082,Website,168
A00083,Webinar,117
A00083,Product Page,182
A00083,Product Page,83
A00083,Event,174
A00083,Website,233
A00083,Webinar,1
A00083,Product Page,91
A00083,Webinar,33
A00084,Campaign,51
A00084,Website,135
A00084,Website,114
A00084,Event,1
A00084,Campaign,134
A00084,Product Page,206
A00084,Campaign,71
A00084,Campaign,168
A00085,Campaign,193
A00085,Product Page,259
A00086,Webinar,115
A00086,Event,171
A00086,Event,196
A00086,Webinar,126
A00086,Webinar,116
A00086,Campaign,113
A00086,Product Page,95
A00086,Product Page,165
A00086,Campaign,186
A00086,Event,305
A00087,Website,38
A00087,Product Page,21
A00087,Campaign,159
A00087,Campaign,125
A00087,Product Page,57
A00087,Product Page,125
A00088,Event,1
A00088,Event,132
A00088,Webinar,153
A00088,Product Page,179
A00088,Product Page,247
A00088,Event,1
A00088,Website,65
A00088,Product Page,97
A00088,Website,4
A00088,Campaign,181
A00088,Campaign,187
A00088,Product Page,239
A00088,Webinar,42
A00088,Website,119
A00088,Product Page,205
A00088,Product Page,225
A00089,Campaign,120
A00089,Website,75
A00089,Event,83
A00089,Event,108
A00089,Campaign,133
A00089,Webinar,98
A00089,Campaign,200
A00089,Website,98
A00089,Product Page,1
A00089,Product Page,81
A00090,Webinar,109
A00090,Product Page,238
A00090,Event,172
A00090,Webinar,20
A00090,Webinar,114
A00090,Website,172
A00090,Product Page,105
A00090,Webinar,225
A00091,Event,141
A00091,Event,84
A00091,Webinar,114
A00091,Product Page,142
A00091,Event,191
A00091,Campaign,171
A00091,Campaign,79
A00091,Website,238
A00091,Campaign,13
A00091,Webinar,184
A00091,Website,184
A00091,Product Page,219
A00091,Website,79
A00091,Product Page,189
A00091,Campaign,173
A00091,Product Page,148
A00091,Product Page,190
A00092,Event,173
A00093,Campaign,130
A00093,Event,78
A00093,Website,132
A00093,Product Page,112
A00094,Event,74
A00094,Webinar,183
A00094,Webinar,215
A00094,Webinar,124
A00094,Campaign,182
A00094,Website,81
A00095,Campaign,5
A00095,Campaign,21
A00095,Webinar,7
A00095,Product Page,226
A00095,Product Page,116
A00095,Webinar,63
A00095,Website,117
A00095,Website,166
A00095,Website,38
A00095,Campaign,85
A00095,Webinar,86
A00095,Campaign,85
A00095,Product Page,70
A00095,Website,75
A00096,Webinar,79
A00096,Product Page,184
A00096,Product Page,70
A00096,Campaign,111
A00096,Campaign,79
A00097,Website,174
A00097,Campaign,163
A00097,Campaign,202
A00097,Product Page,122
A00097,Campaign,191
A00097,Product Page,183
A00097,Website,194
A00098,Product Page,88
A00098,Website,1
A00098,Event,1
A00098,Campaign,1
A00098,Campaign,143
A00098,Product Page,81
A00098,Webinar,68
A00098,Website,131
A00098,Product Page,86
A00098,Event,136
A00098,Website,179
A00098,Campaign,1
A00098,Event,16
A00098,Campaign,1
A00098,Event,88
A00098,Product Page,169
A00098,Product Page,179
A00098,Webinar,2
A00098,Campaign,5
A00098,Product Page,158
A00098,Campaign,69
A00098,Event,166
A00098,Webinar,156
A00099,Website,31
A00099,Webinar,61
A00099,Event,45
A00099,Website,176
A00099,Website,160
A00099,Website,61
A00099,Website,339
A00099,Event,134
A00099,Event,161
A00099,Website,86
A00099,Website,157
A00099,Event,102
A00099,Product Page,108
A00099,Website,120
A00099,Product Page,17
A00100,Event,257
A00100,Campaign,166
A00100,Website,16
A00100,Event,25
A00100,Website,124
A00100,Website,204
A00100,Webinar,134
A00100,Product Page,68
A00100,Website,88
A00100,Webinar,107
A00100,Event,1
A00100,Campaign,142
A00100,Website,118
A00100,Event,27
A00100,Campaign,92
A00100,Webinar,279
A00101,Product Page,39
A00101,Event,228
A00101,Website,166
A00101,Webinar,93
A00101,Webinar,119
A00101,Event,19
A00102,Website,77
A00102,Campaign,246
A00102,Webinar,171
A00102,Event,58
A00102,Webinar,217
A00102,Campaign,236
A00103,Event,101
A00103,Website,164
A00103,Webinar,229
A00103,Product Page,78
A00103,Campaign,122
A00103,Product Page,57
A00103,Webinar,60
A00103,Website,159
A00103,Product Page,22
A00103,Website,137
A00103,Website,233
A00103,Event,157
A00103,Product Page,54
A00104,Event,111
A00104,Event,103
A00104,Website,61
A00104,Webinar,112
A00104,Event,144
A00104,Event,102
A00104,Webinar,127
A00104,Event,127
A00104,Website,105
A00104,Event,95
A00104,Event,78
A00104,Product Page,1
A00104,Campaign,58
A00105,Website,108
A00105,Product Page,138
A00105,Event,168
A00105,Webinar,119
A00105,Website,75
A00105,Campaign,220
A00105,Event,177
A00105,Website,168
A00106,Event,198
A00106,Event,1
A00106,Product Page,83
A00106,Product Page,119
A00106,Website,260
A00106,Campaign,145
A00106,Website,152
A00106,Event,1
A00106,Product Page,155
A00106,Webinar,94
A00106,Event,1
A00106,Campaign,108
A00106,Product Page,34
A00106,Campaign,90
A00106,Event,138
A00106,Event,88
A00107,Campaign,118
A00107,Website,167
A00107,Webinar,239
A00107,Webinar,152
A00107,Website,129
A00107,Event,111
A00107,Event,86
A00108,Product Page,33
A00108,Product Page,137
A00108,Campaign,23
A00108,Webinar,90
A00108,Product Page,103
A00108,Event,9
A00108,Product Page,136
A00108,Website,285
A00108,Website,189
A00108,Website,153
A00108,Website,71
A00108,Product Page,138
A00109,Webinar,137
A00109,Product Page,96
A00109,Campaign,109
A00109,Campaign,160
A00109,Webinar,151
A00109,Product Page,198
A00109,Event,81
A00109,Campaign,54
A00109,Website,143
A00109,Webinar,242
A00110,Website,1
A00110,Campaign,1
A00110,Campaign,127
A00110,Product Page,1
A00110,Webinar,1
A00110,Product Page,1
A00110,Webinar,1
A00110,Campaign,43
A00110,Event,201
A00110,Event,52
A00110,Product Page,15
A00110,Campaign,1
A00110,Webinar,1
A00110,Product Page,7
A00110,Website,38
A00111,Event,1
A00111,Webinar,16
A00111,Campaign,87
A00111,Webinar,82
A00111,Product Page,119
A00111,Campaign,94
A00111,Event,1
A00111,Webinar,25
A00111,Event,79
A00111,Product Page,79
A00111,Event,82
A00111,Event,75
A00111,Website,98
A00111,Website,23
A00112,Event,159
A00112,Campaign,276
A00112,Product Page,192
A00112,Campaign,42
A00112,Campaign,174
A00113,Product Page,114
A00113,Product Page,1
A00113,Product Page,1
A00113,Campaign,1
A00113,Website,5
A00113,Event,68
A00113,Campaign,125
A00113,Campaign,77
A00113,Event,76
A00114,Event,70
A00114,Webinar,68
A00114,Website,130
A00114,Campaign,97
A00115,Website,143
A00115,Campaign,250
A00115,Event,70
A00115,Product Page,133
A00115,Website,120
A00115,Event,138
A00115,Website,159
A00115,Campaign,212
A00115,Campaign,28
A00116,Product Page,9
A00116,Webinar,26
A00116,Webinar,120
A00116,Webinar,130
A00116,Product Page,193
A00116,Product Page,169
A00117,Campaign,1
A00117,Product Page,36
A00117,Campaign,65
A00117,Webinar,85
A00117,Website,31
A00117,Webinar,86
A00117,Website,43
A00117,Campaign,152
A00117,Product Page,62
A00118,Product Page,254
A00118,Product Page,241
A00118,Webinar,165
A00118,Product Page,183
A00118,Product Page,181
A00118,Webinar,157
A00118,Website,176
A00118,Campaign,134
A00118,Event,75
A00118,Event,262
A00119,Campaign,117
A00119,Website,161
A00119,Event,1
A00119,Webinar,85
A00119,Website,25
A00119,Event,106
A00119,Campaign,153
A00120,Product Page,174
A00120,Product Page,164
A00120,Event,138
A00120,Website,132
A00120,Website,17
A00120,Webinar,38
A00121,Event,142
A00121,Webinar,182
A00121,Webinar,182
A00121,Campaign,58
A00121,Event,105
A00121,Product Page,103
A00121,Campaign,10
A00121,Webinar,1
A00121,Webinar,36
A00122,Event,154
A00122,Webinar,120
A00122,Website,170
A00122,Website,146
A00122,Website,154
A00122,Campaign,67
A00122,Product Page,1
A00122,Webinar,77
A00122,Product Page,116
A00122,Website,236
A00122,Event,201
A00122,Product Page,109
A00122,Webinar,113
A00122,Event,101
A00122,Campaign,48
A00122,Website,76
A00122,Website,194
A00123,Website,190
A00123,Webinar,150
A00123,Campaign,153
A00123,Webinar,52
A00123,Website,235
A00124,Campaign,73
A00124,Campaign,60
A00124,Campaign,58
A00124,Product Page,99
A00124,Product Page,111
A00124,Website,159
A00124,Website,246
A00124,Campaign,67
A00124,Product Page,134
A00124,Website,68
A00124,Campaign,98
A00124,Campaign,189
A00124,Webinar,127
A00124,Product Page,51
A00124,Webinar,53
A00125,Event,71
A00125,Webinar,282
A00125,Website,1
A00125,Website,1
A00125,Product Page,115
A00125,Website,88
A00125,Event,174
A00125,Campaign,163
A00126,Event,103
A00126,Product Page,126
A00126,Campaign,28
A00126,Webinar,51
A00126,Webinar,121
A00127,Website,110
A00127,Event,139
A00127,Campaign,90
A00127,Event,113
A00127,Product Page,232
A00127,Webinar,31
A00127,Campaign,150
A00128,Website,93
A00128,Product Page,99
A00128,Website,94
A00128,Event,54
A00128,Campaign,60
A00129,Event,156
A00129,Product Page,136
A00129,Product Page,65
A00129,Webinar,129
A00129,Event,177
A00129,Webinar,152
A00129,Event,66
A00129,Product Page,48
A00130,Event,91
A00130,Campaign,209
A00130,Webinar,279
A00130,Webinar,105
A00130,Event,138
A00130,Campaign,1
A00130,Event,297
A00130,Website,132
A00130,Website,147
A00130,Campaign,104
A00131,Website,1
A00131,Webinar,1
A00131,Website,4
A00131,Product Page,122
A00131,Campaign,12
A00131,Website,75
A00131,Event,99
A00131,Campaign,229
A00131,Website,184
A00131,Product Page,132
A00132,Campaign,181
A00132,Product Page,134
A00132,Event,139
A00132,Campaign,98
A00133,Website,247
A00133,Website,179
A00133,Website,160
A00133,Event,161
A00134,Webinar,169
A00134,Website,66
A00134,Webinar,173
A00134,Event,140
A00134,Website,83
A00134,Webinar,80
A00134,Event,1
A00134,Webinar,56
A00134,Product Page,21
A00134,Product Page,84
A00135,Webinar,113
A00135,Website,65
A00135,Event,183
A00135,Webinar,124
A00135,Event,131
A00135,Website,187
A00135,Website,243
A00135,Product Page,149
A00135,Website,114
A00135,Campaign,1
A00135,Product Page,87
A00135,Website,198
A00136,Webinar,238
A00136,Webinar,28
A00136,Event,137
A00136,Webinar,180
A00136,Product Page,217
A00136,Product Page,146
A00136,Event,93
A00136,Campaign,96
A00136,Campaign,159
A00136,Event,184
A00136,Event,118
A00137,Campaign,77
A00137,Webinar,148
A00137,Product Page,172
A00137,Event,239
A00137,Campaign,160
A00137,Product Page,173
A00137,Campaign,117
A00137,Product Page,84
A00138,Product Page,161
A00138,Webinar,141
A00138,Campaign,103
A00138,Webinar,135
A00138,Website,113
A00138,Website,237
A00138,Webinar,50
A00138,Product Page,117
A00138,Product Page,219
A00138,Website,148
A00138,Website,131
A00138,Webinar,179
A00139,Campaign,145
A00139,Website,97
A00139,Website,17
A00139,Product Page,25
A00139,Product Page,81
A00139,Webinar,31
A00139,Event,90
A00139,Website,209
A00139,Product Page,104
A00139,Webinar,208
A00140,Product Page,1
A00140,Website,10
A00140,Webinar,151
A00140,Campaign,78
A00140,Campaign,98
A00140,Event,83
A00140,Webinar,75
A00140,Event,189
A00140,Website,81
A00140,Event,113
A00140,Webinar,230
A00140,Event,1
A00141,Product Page,101
A00141,Website,109
A00141,Website,5
A00141,Website,97
A00141,Product Page,198
A00141,Product Page,67
A00141,Website,265
A00141,Website,145
A00141,Event,83
A00142,Webinar,78
A00142,Website,246
A00142,Campaign,258
A00142,Event,181
A00142,Campaign,149
A00142,Campaign,86
A00142,Event,218
A00142,Product Page,113
A00143,Campaign,129
A00143,Product Page,79
A00143,Product Page,107
A00143,Website,134
A00143,Campaign,93
A00143,Website,128
A00143,Event,125
A00143,Webinar,229
A00143,Event,210
A00144,Webinar,1
A00144,Product Page,73
A00144,Event,88
A00144,Product Page,109
A00144,Event,86
A00144,Product Page,231
A00144,Webinar,32
A00144,Webinar,14
A00145,Campaign,100
A00145,Campaign,214
A00145,Campaign,51
A00145,Campaign,192
A00145,Webinar,48
A00145,Campaign,59
A00145,Website,69
A00145,Product Page,66
A00145,Campaign,5
