account_id,product_family,product_engagement_score
A00043,Integration,47
A00044,Infrastructure,43
A00044,Database,26
A00044,Analytics & Data,89
A00044,AI & ML,57
A00044,Security,44
A00044,Applications,23
A00044,Integration,47
A00045,Infrastructure,32
A00045,Database,44
A00045,Analytics & Data,46
A00045,AI & ML,86
A00045,Security,41
A00045,Applications,29
A00045,Integration,36
A00046,Infrastructure,22
A00046,Database,41
A00046,Analytics & Data,67
A00046,AI & ML,56
A00046,Security,36
A00046,Applications,40
A00046,Integration,44
A00047,Infrastructure,70
A00047,Database,74
A00047,Analytics & Data,36
A00047,AI & ML,18
A00047,Security,42
A00047,Applications,32
A00047,Integration,42
A00048,Infrastructure,43
A00048,Database,55
A00048,Analytics & Data,93
A00048,AI & ML,54
A00048,Security,59
A00048,Applications,38
A00048,Integration,87
A00049,Infrastructure,25
A00049,Database,45
A00049,Analytics & Data,31
A00049,AI & ML,40
A00049,Security,53
A00049,Applications,31
A00049,Integration,75
A00050,Infrastructure,50
A00050,Database,86
A00050,Analytics & Data,67
A00050,AI & ML,17
A00050,Security,73
A00050,Applications,34
A00050,Integration,39
A00051,Infrastructure,74
A00051,Database,17
A00051,Analytics & Data,51
A00051,AI & ML,47
A00051,Security,54
A00051,Applications,81
A00051,Integration,42
A00052,Infrastructure,57
A00052,Database,77
A00052,Analytics & Data,80
A00052,AI & ML,40
A00052,Security,72
A00052,Applications,28
A00052,Integration,48
A00053,Infrastructure,26
A00053,Database,77
A00053,Analytics & Data,46
A00053,AI & ML,56
A00053,Security,96
A00053,Applications,24
A00053,Integration,19
A00054,Infrastructure,74
A00054,Database,38
A00054,Analytics & Data,38
A00054,AI & ML,35
A00054,Security,38
A00054,Applications,69
A00054,Integration,80
A00055,Infrastructure,28
A00055,Database,42
A00055,Analytics & Data,24
A00055,AI & ML,26
A00055,Security,55
A00055,Applications,47
A00055,Integration,65
A00056,Infrastructure,62
A00056,Database,28
A00056,Analytics & Data,58
A00056,AI & ML,50
A00056,Security,53
A00056,Applications,46
A00056,Integration,38
A00057,Infrastructure,35
A00057,Database,64
A00057,Analytics & Data,62
A00057,AI & ML,41
A00057,Security,50
A00057,Applications,36
A00057,Integration,54
A00058,Infrastructure,57
A00058,Database,32
A00058,Analytics & Data,38
A00058,AI & ML,42
A00058,Security,52
A00058,Applications,45
A00058,Integration,76
A00059,Infrastructure,62
A00059,Database,34
A00059,Analytics & Data,74
A00059,AI & ML,93
A00059,Security,60
A00059,Applications,48
A00059,Integration,43
A00060,Infrastructure,28
A00060,Database,32
A00060,Analytics & Data,35
A00060,AI & ML,33
A00060,Security,67
A00060,Applications,32
A00060,Integration,43
A00061,Infrastructure,81
A00061,Database,94
A00061,Analytics & Data,71
A00061,AI & ML,65
A00061,Security,51
A00061,Applications,30
A00061,Integration,27
A00062,Infrastructure,32
A00062,Database,50
A00062,Analytics & Data,73
A00062,AI & ML,42
A00062,Security,52
A00062,Applications,59
A00062,Integration,42
A00063,Infrastructure,48
A00063,Database,42
A00063,Analytics & Data,51
A00063,AI & ML,38
A00063,Security,44
A00063,Applications,63
A00063,Integration,65
A00064,Infrastructure,39
A00064,Database,95
A00064,Analytics & Data,84
A00064,AI & ML,42
A00064,Security,40
A00064,Applications,53
A00064,Integration,97
A00065,Infrastructure,36
A00065,Database,45
A00065,Analytics & Data,44
A00065,AI & ML,38
A00065,Security,48
A00065,Applications,45
A00065,Integration,38
A00066,Infrastructure,51
A00066,Database,44
A00066,Analytics & Data,46
A00066,AI & ML,91
A00066,Security,32
A00066,Applications,34
A00066,Integration,27
A00067,Infrastructure,76
A00067,Database,41
A00067,Analytics & Data,55
A00067,AI & ML,79
A00067,Security,71
A00067,Applications,38
A00067,Integration,22
A00068,Infrastructure,93
A00068,Database,15
A00068,Analytics & Data,18
A00068,AI & ML,31
A00068,Security,30
A00068,Applications,42
A00068,Integration,61
A00069,Infrastructure,35
A00069,Database,46
A00069,Analytics & Data,62
A00069,AI & ML,34
A00069,Security,28
A00069,Applications,35
A00069,Integration,48
A00070,Infrastructure,60
A00070,Database,97
A00070,Analytics & Data,19
A00070,AI & ML,93
A00070,Security,63
A00070,Applications,58
A00070,Integration,20
A00071,Infrastructure,41
A00071,Database,56
A00071,Analytics & Data,43
A00071,AI & ML,39
A00071,Security,73
A00071,Applications,100
A00071,Integration,43
A00072,Infrastructure,75
A00072,Database,19
A00072,Analytics & Data,26
A00072,AI & ML,34
A00072,Security,15
A00072,Applications,53
A00072,Integration,43
A00073,Infrastructure,26
A00073,Database,50
A00073,Analytics & Data,16
A00073,AI & ML,41
A00073,Security,50
A00073,Applications,51
A00073,Integration,35
A00074,Infrastructure,37
A00074,Database,64
A00074,Analytics & Data,75
A00074,AI & ML,35
A00074,Security,56
A00074,Applications,38
A00074,Integration,51
A00075,Infrastructure,81
A00075,Database,94
A00075,Analytics & Data,34
A00075,AI & ML,40
A00075,Security,41
A00075,Applications,33
A00075,Integration,67
A00076,Infrastructure,37
A00076,Database,38
A00076,Analytics & Data,33
A00076,AI & ML,37
A00076,Security,59
A00076,Applications,40
A00076,Integration,77
A00077,Infrastructure,37
A00077,Database,29
A00077,Analytics & Data,45
A00077,AI & ML,39
A00077,Security,33
A00077,Applications,82
A00077,Integration,16
A00078,Infrastructure,20
A00078,Database,91
A00078,Analytics & Data,79
A00078,AI & ML,40
A00078,Security,22
A00078,Applications,15
A00078,Integration,42
A00079,Infrastructure,47
A00079,Database,33
A00079,Analytics & Data,37
A00079,AI & ML,49
A00079,Security,45
A00079,Applications,42
A00079,Integration,96
A00080,Infrastructure,57
A00080,Database,52
A00080,Analytics & Data,49
A00080,AI & ML,44
A00080,Security,73
A00080,Applications,75
A00080,Integration,49
A00081,Infrastructure,23
A00081,Database,65
A00081,Analytics & Data,31
A00081,AI & ML,35
A00081,Security,38
A00081,Applications,32
A00081,Integration,41
A00082,Infrastructure,40
A00082,Database,44
A00082,Analytics & Data,36
A00082,AI & ML,28
A00082,Security,31
A00082,Applications,22
A00082,Integration,18
A00083,Infrastructure,64
A00083,Database,38
A00083,Analytics & Data,71
A00083,AI & ML,40
A00083,Security,40
A00083,Applications,27
A00083,Integration,61
A00084,Infrastructure,50
A00084,Database,65
A00084,Analytics & Data,32
A00084,AI & ML,41
A00084,Security,38
A00084,Applications,46
A00084,Integration,44
A00085,Infrastructure,89
A00085,Database,39
A00085,Analytics & Data,69
A00085,AI & ML,35
A00085,Security,35
A00085,Applications,26
A00085,Integration,100
A00086,Infrastructure,80
A00086,Database,44
A00086,Analytics & Data,55
A00086,AI & ML,37
A00086,Security,39
A00086,Applications,28
A00086,Integration,43
A00087,Infrastructure,39
A00087,Database,64
A00087,Analytics & Data,42
A00087,AI & ML,25
A00087,Security,55
A00087,Applications,61
A00087,Integration,27
A00088,Infrastructure,55
A00088,Database,100
A00088,Analytics & Data,43
A00088,AI & ML,33
A00088,Security,45
A00088,Applications,47
A00088,Integration,42
A00089,Infrastructure,91
A00089,Database,38
A00089,Analytics & Data,39
A00089,AI & ML,34
A00089,Security,36
A00089,Applications,32
A00089,Integration,36
A00090,Infrastructure,91
A00090,Database,32
A00090,Analytics & Data,100
A00090,AI & ML,38
A00090,Security,37
A00090,Applications,63
A00090,Integration,71
A00091,Infrastructure,69
A00091,Database,49
A00091,Analytics & Data,18
A00091,AI & ML,35
A00091,Security,82
A00091,Applications,50
A00091,Integration,55
A00092,Infrastructure,32
A00092,Database,68
A00092,Analytics & Data,30
A00092,AI & ML,52
A00092,Security,38
A00092,Applications,45
A00092,Integration,52
A00093,Infrastructure,67
A00093,Database,82
A00093,Analytics & Data,28
A00093,AI & ML,24
A00093,Security,42
A00093,Applications,61
A00093,Integration,26
A00094,Infrastructure,38
A00094,Database,18
A00094,Analytics & Data,40
A00094,AI & ML,84
A00094,Security,35
A00094,Applications,64
A00094,Integration,49
A00095,Infrastructure,40
A00095,Database,89
A00095,Analytics & Data,53
A00095,AI & ML,44
A00095,Security,56
A00095,Applications,34
A00095,Integration,24
A00096,Infrastructure,30
A00096,Database,41
A00096,Analytics & Data,43
A00096,AI & ML,36
A00096,Security,32
A00096,Applications,82
A00096,Integration,32
A00097,Infrastructure,100
A00097,Database,37
A00097,Analytics & Data,29
A00097,AI & ML,59
A00097,Security,31
A00097,Applications,33
A00097,Integration,19
A00098,Infrastructure,66
A00098,Database,80
A00098,Analytics & Data,71
A00098,AI & ML,57
A00098,Security,38
A00098,Applications,48
A00098,Integration,56
A00099,Infrastructure,46
A00099,Database,70
A00099,Analytics & Data,64
A00099,AI & ML,53
A00099,Security,46
A00099,Applications,78
A00099,Integration,89
A00100,Infrastructure,44
A00100,Database,44
A00100,Analytics & Data,32
A00100,AI & ML,64
A00100,Security,78
A00100,Applications,93
A00100,Integration,38
A00101,Infrastructure,46
A00101,Database,54
A00101,Analytics & Data,46
A00101,AI & ML,41
A00101,Security,25
A00101,Applications,46
A00101,Integration,32
A00102,Infrastructure,34
A00102,Database,57
A00102,Analytics & Data,33
A00102,AI & ML,83
A00102,Security,46
A00102,Applications,42
A00102,Integration,30
A00103,Infrastructure,42
A00103,Database,42
A00103,Analytics & Data,90
A00103,AI & ML,25
A00103,Security,50
A00103,Applications,28
A00103,Integration,37
A00104,Infrastructure,46
A00104,Database,21
A00104,Analytics & Data,65
A00104,AI & ML,19
A00104,Security,52
A00104,Applications,66
A00104,Integration,75
A00105,Infrastructure,64
A00105,Database,35
A00105,Analytics & Data,30
A00105,AI & ML,34
A00105,Security,13
A00105,Applications,42
A00105,Integration,65
A00106,Infrastructure,100
A00106,Database,50
A00106,Analytics & Data,55
A00106,AI & ML,56
A00106,Security,44
A00106,Applications,97
A00106,Integration,51
A00107,Infrastructure,26
A00107,Database,27
A00107,Analytics & Data,27
A00107,AI & ML,100
A00107,Security,37
A00107,Applications,53
A00107,Integration,23
A00108,Infrastructure,50
A00108,Database,48
A00108,Analytics & Data,43
A00108,AI & ML,85
A00108,Security,46
A00108,Applications,27
A00108,Integration,37
A00109,Infrastructure,34
A00109,Database,59
A00109,Analytics & Data,52
A00109,AI & ML,58
A00109,Security,79
A00109,Applications,46
A00109,Integration,27
A00110,Infrastructure,56
A00110,Database,51
A00110,Analytics & Data,79
A00110,AI & ML,24
A00110,Security,42
A00110,Applications,41
A00110,Integration,53
A00111,Infrastructure,78
A00111,Database,45
A00111,Analytics & Data,35
A00111,AI & ML,93
A00111,Security,38
A00111,Applications,25
A00111,Integration,96
A00112,Infrastructure,30
A00112,Database,38
A00112,Analytics & Data,53
A00112,AI & ML,33
A00112,Security,54
A00112,Applications,20
A00112,Integration,48
A00113,Infrastructure,38
A00113,Database,44
A00113,Analytics & Data,58
A00113,AI & ML,67
A00113,Security,31
A00113,Applications,35
A00113,Integration,42
A00114,Infrastructure,51
A00114,Database,23
A00114,Analytics & Data,66
A00114,AI & ML,76
A00114,Security,68
A00114,Applications,41
A00114,Integration,32
A00115,Infrastructure,50
A00115,Database,44
A00115,Analytics & Data,51
A00115,AI & ML,35
A00115,Security,58
A00115,Applications,29
A00115,Integration,32
A00116,Infrastructure,53
A00116,Database,50
A00116,Analytics & Data,29
A00116,AI & ML,30
A00116,Security,52
A00116,Applications,18
A00116,Integration,84
A00117,Infrastructure,62
A00117,Database,37
A00117,Analytics & Data,43
A00117,AI & ML,43
A00117,Security,62
A00117,Applications,45
A00117,Integration,50
A00118,Infrastructure,30
A00118,Database,21
A00118,Analytics & Data,74
A00118,AI & ML,34
A00118,Security,96
A00118,Applications,31
A00118,Integration,40
A00119,Infrastructure,43
A00119,Database,76
A00119,Analytics & Data,61
A00119,AI & ML,61
A00119,Security,48
A00119,Applications,47
A00119,Integration,46
A00120,Infrastructure,16
A00120,Database,23
A00120,Analytics & Data,80
A00120,AI & ML,57
A00120,Security,84
A00120,Applications,59
A00120,Integration,61
A00121,Infrastructure,47
A00121,Database,62
A00121,Analytics & Data,79
A00121,AI & ML,51
A00121,Security,26
A00121,Applications,22
A00121,Integration,43
A00122,Infrastructure,55
A00122,Database,99
A00122,Analytics & Data,44
A00122,AI & ML,52
A00122,Security,54
A00122,Applications,29
A00122,Integration,69
A00123,Infrastructure,39
A00123,Database,64
A00123,Analytics & Data,69
A00123,AI & ML,95
A00123,Security,70
A00123,Applications,90
A00123,Integration,100
A00124,Infrastructure,65
A00124,Database,31
A00124,Analytics & Data,39
A00124,AI & ML,45
A00124,Security,47
A00124,Applications,18
A00124,Integration,42
A00125,Infrastructure,33
A00125,Database,43
A00125,Analytics & Data,57
A00125,AI & ML,65
A00125,Security,35
A00125,Applications,57
A00125,Integration,44
A00126,Infrastructure,27
A00126,Database,19
A00126,Analytics & Data,55
A00126,AI & ML,46
A00126,Security,81
A00126,Applications,58
A00126,Integration,74
A00127,Infrastructure,60
A00127,Database,42
A00127,Analytics & Data,26
A00127,AI & ML,36
A00127,Security,46
A00127,Applications,47
A00127,Integration,34
A00128,Infrastructure,84
A00128,Database,32
A00128,Analytics & Data,56
A00128,AI & ML,62
A00128,Security,69
A00128,Applications,43
A00128,Integration,81
A00129,Infrastructure,52
A00129,Database,27
A00129,Analytics & Data,55
A00129,AI & ML,34
A00129,Security,36
A00129,Applications,26
A00129,Integration,29
A00130,Infrastructure,41
A00130,Database,34
A00130,Analytics & Data,29
A00130,AI & ML,24
A00130,Security,46
A00130,Applications,28
A00130,Integration,46
A00131,Infrastructure,45
A00131,Database,74
A00131,Analytics & Data,32
A00131,AI & ML,79
A00131,Security,23
A00131,Applications,48
A00131,Integration,27
A00132,Infrastructure,41
A00132,Database,65
A00132,Analytics & Data,36
A00132,AI & ML,80
A00132,Security,39
A00132,Applications,38
A00132,Integration,46
A00133,Infrastructure,30
A00133,Database,100
A00133,Analytics & Data,44
A00133,AI & ML,33
A00133,Security,75
A00133,Applications,63
A00133,Integration,35
A00134,Infrastructure,39
A00134,Database,80
A00134,Analytics & Data,85
A00134,AI & ML,46
A00134,Security,87
A00134,Applications,46
A00134,Integration,39
A00135,Infrastructure,86
A00135,Database,95
A00135,Analytics & Data,49
A00135,AI & ML,66
A00135,Security,58
A00135,Applications,50
A00135,Integration,56
A00136,Infrastructure,82
A00136,Database,89
A00136,Analytics & Data,53
A00136,AI & ML,31
A00136,Security,60
A00136,Applications,47
A00136,Integration,36
A00137,Infrastructure,62
A00137,Database,64
A00137,Analytics & Data,32
A00137,AI & ML,22
A00137,Security,67
A00137,Applications,40
A00137,Integration,47
A00138,Infrastructure,51
A00138,Database,48
A00138,Analytics & Data,37
A00138,AI & ML,37
A00138,Security,78
A00138,Applications,32
A00138,Integration,46
A00139,Infrastructure,100
A00139,Database,46
A00139,Analytics & Data,30
A00139,AI & ML,45
A00139,Security,32
A00139,Applications,51
A00139,Integration,36
A00140,Infrastructure,31
A00140,Database,68
A00140,Analytics & Data,42
A00140,AI & ML,60
A00140,Security,35
A00140,Applications,43
A00140,Integration,35
A00141,Infrastructure,25
A00141,Database,66
A00141,Analytics & Data,57
A00141,AI & ML,36
A00141,Security,25
A00141,Applications,27
A00141,Integration,49
A00142,Infrastructure,35
A00142,Database,35
A00142,Analytics & Data,43
A00142,AI & ML,94
A00142,Security,61
A00142,Applications,94
A00142,Integration,45
A00143,Infrastructure,46
A00143,Database,36
A00143,Analytics & Data,78
A00143,AI & ML,46
A00143,Security,27
A00143,Applications,45
A00143,Integration,66
A00144,Infrastructure,24
A00144,Database,60
A00144,Analytics & Data,87
A00144,AI & ML,33
A00144,Security,47
A00144,Applications,72
A00144,Integration,29
A00145,Infrastructure,27
A00145,Database,53
A00145,Analytics & Data,40
A00145,AI & ML,31
A00145,Security,42
A00145,Applications,35
A00145,Integration,43
A00146,Infrastructure,89
A00146,Database,33
A00146,Analytics & Data,22
A00146,AI & ML,56
A00146,Security,78
A00146,Applications,43
A00146,Integration,55
A00147,Infrastructure,39
A00147,Database,29
A00147,Analytics & Data,42
A00147,AI & ML,54
A00147,Security,24
A00147,Applications,34
A00147,Integration,77
A00148,Infrastructure,60
A00148,Database,83
A00148,Analytics & Data,27
A00148,AI & ML,93
A00148,Security,45
A00148,Applications,38
A00148,Integration,47
A00149,Infrastructure,88
A00149,Database,58
A00149,Analytics & Data,16
A00149,AI & ML,48
A00149,Security,32
A00149,Applications,75
A00149,Integration,59
A00150,Infrastructure,52
A00150,Database,50
A00150,Analytics & Data,68
A00150,AI & ML,54
A00150,Security,29
A00150,Applications,44
A00150,Integration,77
A00151,Infrastructure,36
A00151,Database,48
A00151,Analytics & Data,69
A00151,AI & ML,22
A00151,Security,100
A00151,Applications,31
A00151,Integration,27
A00152,Infrastructure,43
A00152,Database,42
A00152,Analytics & Data,62
A00152,AI & ML,61
A00152,Security,22
A00152,Applications,37
A00152,Integration,51
A00153,Infrastructure,62
A00153,Database,67
A00153,Analytics & Data,75
A00153,AI & ML,40
A00153,Security,38
A00153,Applications,28
A00153,Integration,41
A00154,Infrastructure,19
A00154,Database,56
A00154,Analytics & Data,42
A00154,AI & ML,42
A00154,Security,81
A00154,Applications,40
A00154,Integration,29
A00155,Infrastructure,41
A00155,Database,87
A00155,Analytics & Data,37
A00155,AI & ML,36
A00155,Security,43
A00155,Applications,56
A00155,Integration,48
A00156,Infrastructure,18
A00156,Database,79
A00156,Analytics & Data,48
A00156,AI & ML,100
A00156,Security,87
A00156,Applications,48
A00156,Integration,27
A00157,Infrastructure,42
A00157,Database,64
A00157,Analytics & Data,47
A00157,AI & ML,37
A00157,Security,61
A00157,Applications,83
A00157,Integration,36
A00158,Infrastructure,68
A00158,Database,58
A00158,Analytics & Data,43
A00158,AI & ML,82
A00158,Security,36
A00158,Applications,56
A00158,Integration,30
A00159,Infrastructure,58
A00159,Database,45
A00159,Analytics & Data,98
A00159,AI & ML,68
A00159,Security,36
A00159,Applications,30
A00159,Integration,98
A00160,Infrastructure,31
A00160,Database,28
A00160,Analytics & Data,62
A00160,AI & ML,33
A00160,Security,29
A00160,Applications,34
A00160,Integration,40
A00161,Infrastructure,25
A00161,Database,60
A00161,Analytics & Data,52
A00161,AI & ML,43
A00161,Security,66
A00161,Applications,44
A00161,Integration,60
A00162,Infrastructure,85
A00162,Database,88
A00162,Analytics & Data,71
A00162,AI & ML,46
A00162,Security,70
A00162,Applications,40
A00162,Integration,49
A00163,Infrastructure,96
A00163,Database,95
A00163,Analytics & Data,60
A00163,AI & ML,39
A00163,Security,27
A00163,Applications,17
A00163,Integration,90
A00164,Infrastructure,34
A00164,Database,35
A00164,Analytics & Data,47
A00164,AI & ML,27
A00164,Security,33
A00164,Applications,60
A00164,Integration,42
A00165,Infrastructure,25
A00165,Database,66
A00165,Analytics & Data,29
A00165,AI & ML,37
A00165,Security,41
A00165,Applications,100
A00165,Integration,35
A00166,Infrastructure,86
A00166,Database,52
A00166,Analytics & Data,48
A00166,AI & ML,48
A00166,Security,41
A00166,Applications,62
A00166,Integration,39
A00167,Infrastructure,28
A00167,Database,45
A00167,Analytics & Data,45
A00167,AI & ML,35
A00167,Security,61
A00167,Applications,43
A00167,Integration,67
A00168,Infrastructure,39
A00168,Database,75
A00168,Analytics & Data,25
A00168,AI & ML,51
A00168,Security,58
A00168,Applications,18
A00168,Integration,37
A00169,Infrastructure,32
A00169,Database,66
A00169,Analytics & Data,44
A00169,AI & ML,51
A00169,Security,37
A00169,Applications,40
A00169,Integration,40
A00170,Infrastructure,40
A00170,Database,34
A00170,Analytics & Data,36
A00170,AI & ML,44
A00170,Security,50
A00170,Applications,26
A00170,Integration,83
A00171,Infrastructure,63
A00171,Database,56
A00171,Analytics & Data,25
A00171,AI & ML,44
A00171,Security,40
A00171,Applications,80
A00171,Integration,44
A00172,Infrastructure,55
A00172,Database,39
A00172,Analytics & Data,31
A00172,AI & ML,59
A00172,Security,27
A00172,Applications,25
A00172,Integration,79
A00173,Infrastructure,31
A00173,Database,86
A00173,Analytics & Data,42
A00173,AI & ML,26
A00173,Security,53
A00173,Applications,55
A00173,Integration,55
A00174,Infrastructure,32
A00174,Database,29
A00174,Analytics & Data,53
A00174,AI & ML,57
A00174,Security,53
A00174,Applications,51
A00174,Integration,46
A00175,Infrastructure,32
A00175,Database,74
A00175,Analytics & Data,36
A00175,AI & ML,46
A00175,Security,38
A00175,Applications,87
A00175,Integration,80
A00176,Infrastructure,50
A00176,Database,65
A00176,Analytics & Data,52
A00176,AI & ML,52
A00176,Security,21
A00176,Applications,51
A00176,Integration,44
A00177,Infrastructure,79
A00177,Database,87
A00177,Analytics & Data,21
A00177,AI & ML,97
A00177,Security,46
A00177,Applications,34
A00177,Integration,67
A00178,Infrastructure,37
A00178,Database,92
A00178,Analytics & Data,19
A00178,AI & ML,83
A00178,Security,47
A00178,Applications,72
A00178,Integration,41
A00179,Infrastructure,43
A00179,Database,69
A00179,Analytics & Data,89
A00179,AI & ML,38
A00179,Security,82
A00179,Applications,36
A00179,Integration,37
A00180,Infrastructure,45
A00180,Database,35
A00180,Analytics & Data,55
A00180,AI & ML,49
A00180,Security,33
A00180,Applications,75
A00180,Integration,75
A00181,Infrastructure,45
A00181,Database,26
A00181,Analytics & Data,37
A00181,AI & ML,30
A00181,Security,55
A00181,Applications,45
A00181,Integration,21
A00182,Infrastructure,76
A00182,Database,62
