account_id,product_family,amount,status,weighted_amount
A00023,Analytics & Data,1651883,Won,0.0
A00023,AI & ML,2552398,Open,1914298.5
A00024,Analytics & Data,1426779,Open,1070084.25
A00025,Analytics & Data,985799,Open,739349.25
A00025,AI & ML,4304335,Lost,0.0
A00025,Applications,311363,Won,0.0
A00026,AI & ML,1913753,Open,1435314.75
A00026,Security,664340,Open,498255.0
A00026,Applications,974062,Won,0.0
A00026,Integration,726630,Open,544972.5
A00027,Database,1723065,Lost,0.0
A00027,Analytics & Data,1182439,Lost,0.0
A00027,Security,2159037,Lost,0.0
A00027,Applications,1536513,Lost,0.0
A00028,AI & ML,716685,Open,537513.75
A00028,Security,1825140,Open,1368855.0
A00028,Applications,2315182,Open,1736386.5
A00029,Security,387630,Open,290722.5
A00030,Analytics & Data,480540,Closed,0.0
A00030,Security,627519,Open,470639.25
A00030,Integration,346633,Open,259974.75
A00031,Analytics & Data,890427,Lost,0.0
A00031,Security,1368197,Open,1026147.75
A00031,Integration,1037014,Open,777760.5
A00032,Infrastructure,1085919,Won,0.0
A00032,Database,1685184,Open,1263888.0
A00032,AI & ML,551874,Open,413905.5
A00032,Applications,9337377,Open,7003032.75
A00033,Database,1987138,Won,0.0
A00034,Database,691631,Open,518723.25
A00034,AI & ML,981713,Open,736284.75
A00035,AI & ML,999160,Closed,0.0
A00035,Security,427910,Open,320932.5
A00035,Applications,3152299,Open,2364224.25
A00035,Integration,710080,Open,532560.0
A00036,Analytics & Data,3471732,Open,2603799.0
A00037,AI & ML,5763453,Open,4322589.75
A00037,Security,1653499,Open,1240124.25
A00038,Analytics & Data,1369197,Open,1026897.75
A00038,AI & ML,1006994,Open,755245.5
A00038,Integration,4545184,Won,0.0
A00039,Applications,1888048,Open,1416036.0
A00041,Infrastructure,4161454,Closed,0.0
A00041,Applications,538724,Won,0.0
A00042,Database,1029422,Open,772066.5
A00042,AI & ML,1360607,Won,0.0
A00042,Applications,1692060,Open,1269045.0
A00042,Integration,728587,Open,546440.25
A00043,Infrastructure,1245369,Open,934026.75
A00043,Applications,1594271,Open,1195703.25
A00044,AI & ML,1782072,Won,0.0
A00045,Analytics & Data,807315,Closed,0.0
A00045,AI & ML,2433643,Won,0.0
A00046,AI & ML,1662818,Open,1247113.5
A00047,Infrastructure,1612315,Closed,0.0
A00047,Security,1229285,Open,921963.75
A00047,Applications,1655095,Open,1241321.25
A00048,Analytics & Data,3125069,Open,2343801.75
A00048,AI & ML,702599,Open,526949.25
A00048,Integration,4282854,Won,0.0
A00049,Database,730848,Open,548136.0
A00049,AI & ML,1337490,Won,0.0
A00049,Security,1081294,Won,0.0
A00049,Integration,1130075,Won,0.0
A00050,Database,1999811,Lost,0.0
A00050,Security,5662718,Open,4247038.5
A00050,Applications,1932993,Open,1449744.75
A00050,Integration,2003026,Open,1502269.5
A00052,Database,2876955,Open,2157716.25
A00052,Analytics & Data,1346672,Closed,0.0
A00053,AI & ML,1157334,Closed,0.0
A00053,Security,2375732,Won,0.0
A00053,Applications,309821,Open,232365.75
A00054,Infrastructure,3642668,Won,0.0
A00054,Security,480284,Lost,0.0
A00054,Integration,2167223,Lost,0.0
A00055,Database,1875424,Open,1406568.0
A00055,Integration,1150740,Open,863055.0
A00056,Infrastructure,1336564,Closed,0.0
A00057,Database,2383333,Open,1787499.75
A00058,Infrastructure,2728214,Open,2046160.5
A00058,AI & ML,1042343,Won,0.0
A00058,Security,2412539,Open,1809404.25
A00058,Integration,1817867,Closed,0.0
A00059,AI & ML,2330470,Won,0.0
A00060,Infrastructure,215239,Open,161429.25
A00061,Infrastructure,1361117,Lost,0.0
A00061,Database,1297235,Open,972926.25
A00061,AI & ML,1304053,Open,978039.75
A00061,Security,898371,Open,673778.25
A00062,Analytics & Data,4358840,Open,3269130.0
A00062,Applications,2451357,Open,1838517.75
A00063,Analytics & Data,1635023,Open,1226267.25
A00063,Applications,1101760,Closed,0.0
A00063,Integration,953743,Open,715307.25
A00064,Database,2470094,Open,1852570.5
A00064,Integration,3629191,Open,2721893.25
A00065,Analytics & Data,2126822,Open,1595116.5
A00065,AI & ML,1220140,Lost,0.0
A00065,Applications,1488611,Open,1116458.25
A00065,Integration,803366,Closed,0.0
A00066,AI & ML,1564904,Open,1173678.0
A00066,Security,338270,Open,253702.5
A00067,Analytics & Data,878585,Lost,0.0
A00068,Infrastructure,1490937,Open,1118202.75
A00068,Database,609400,Closed,0.0
A00068,Security,315675,Open,236756.25
A00068,Applications,1093252,Closed,0.0
A00069,Infrastructure,1623142,Open,1217356.5
A00069,Analytics & Data,2247535,Open,1685651.25
A00070,Database,9502833,Open,7127124.75
A00070,AI & ML,1071642,Open,803731.5
A00070,Applications,1234377,Open,925782.75
A00071,Analytics & Data,561176,Open,420882.0
A00071,Applications,3187192,Lost,0.0
A00072,Infrastructure,3522851,Won,0.0
A00072,Integration,2105615,Open,1579211.25
A00073,AI & ML,924641,Open,693480.75
A00073,Applications,1382998,Lost,0.0
A00074,Infrastructure,484452,Open,363339.0
A00074,AI & ML,430041,Won,0.0
A00074,Applications,575415,Open,431561.25
A00075,Infrastructure,3090913,Open,2318184.75
A00075,Database,6058607,Open,4543955.25
A00075,Integration,1223282,Open,917461.5
A00076,Applications,899904,Open,674928.0
A00076,Integration,1892549,Lost,0.0
A00078,Database,1126281,Open,844710.75
A00079,Analytics & Data,415844,Lost,0.0
A00079,AI & ML,906858,Won,0.0
A00079,Integration,1269502,Lost,0.0
A00080,Infrastructure,2618754,Lost,0.0
A00080,AI & ML,754867,Open,566150.25
A00081,Database,1018701,Open,764025.75
A00082,Database,1245638,Open,934228.5
A00082,AI & ML,1967267,Open,1475450.25
A00083,Infrastructure,1180752,Open,885564.0
A00084,Infrastructure,2403245,Open,1802433.75
A00084,AI & ML,1070191,Won,0.0
A00084,Integration,1088011,Lost,0.0
A00085,Infrastructure,6167833,Won,0.0
A00085,Database,697220,Open,522915.0
A00085,Analytics & Data,5836556,Open,4377417.0
A00085,AI & ML,1185589,Open,889191.75
A00085,Applications,1252162,Open,939121.5
A00085,Integration,8437321,Open,6327990.75
A00086,Security,1352962,Open,1014721.5
A00086,Applications,398368,Open,298776.0
A00087,Database,1913864,Lost,0.0
A00088,Database,4243337,Won,0.0
A00088,Analytics & Data,1729346,Open,1297009.5
A00089,Infrastructure,3275038,Open,2456278.5
A00089,Analytics & Data,958303,Open,718727.25
A00089,Security,301793,Won,0.0
A00089,Integration,1628513,Won,0.0
A00090,Database,1876696,Won,0.0
A00090,Analytics & Data,1196444,Open,897333.0
A00090,Security,2194335,Open,1645751.25
A00091,Infrastructure,1171489,Open,878616.75
A00091,Security,2728791,Open,2046593.25
A00092,Database,2471685,Open,1853763.75
A00092,AI & ML,605117,Open,453837.75
A00092,Applications,844773,Open,633579.75
A00092,Integration,1974277,Open,1480707.75
A00093,Infrastructure,2524230,Won,0.0
A00093,Security,1013056,Open,759792.0
A00094,Infrastructure,534892,Open,401169.0
A00094,Database,336236,Won,0.0
A00094,Analytics & Data,2104877,Open,1578657.75
A00094,AI & ML,3143842,Lost,0.0
A00094,Applications,1557119,Open,1167839.25
A00095,AI & ML,883013,Open,662259.75
A00095,Security,1630719,Open,1223039.25
A00095,Applications,1359549,Open,1019661.75
A00096,Infrastructure,609108,Won,0.0
A00096,Analytics & Data,586059,Lost,0.0
A00096,Applications,2156348,Won,0.0
A00097,Analytics & Data,1041385,Open,781038.75
A00097,AI & ML,1893450,Open,1420087.5
A00097,Applications,655498,Open,491623.5
A00098,Infrastructure,920194,Open,690145.5
A00098,Database,2501052,Won,0.0
A00098,Applications,500020,Lost,0.0
A00098,Integration,2510844,Open,1883133.0
A00099,Infrastructure,998048,Open,748536.0
A00099,Database,4491522,Open,3368641.5
A00099,Analytics & Data,1362382,Open,1021786.5
A00099,AI & ML,993178,Won,0.0
A00099,Security,1649492,Open,1237119.0
A00099,Applications,2596733,Open,1947549.75
A00099,Integration,3044983,Lost,0.0
A00100,AI & ML,798532,Open,598899.0
A00100,Security,3645253,Closed,0.0
A00100,Applications,15494272,Open,11620704.0
A00101,Infrastructure,1748269,Open,1311201.75
A00101,Database,435140,Closed,0.0
A00101,Applications,621609,Open,466206.75
A00102,Infrastructure,772082,Closed,0.0
A00102,Database,866541,Open,649905.75
A00102,AI & ML,2284884,Open,1713663.0
A00102,Applications,662789,Open,497091.75
A00102,Integration,2017349,Lost,0.0
A00103,Database,539572,Won,0.0
A00103,Analytics & Data,2050690,Lost,0.0
A00104,Applications,1572754,Open,1179565.5
A00104,Integration,7237360,Open,5428020.0
A00105,Infrastructure,1741148,Open,1305861.0
A00105,AI & ML,282185,Open,211638.75
A00106,Infrastructure,4709017,Open,3531762.75
A00106,Database,818732,Open,614049.0
A00106,Analytics & Data,1182423,Open,886817.25
A00106,Integration,1185539,Lost,0.0
A00107,Analytics & Data,693012,Won,0.0
A00107,AI & ML,1809510,Open,1357132.5
A00107,Applications,2168184,Open,1626138.0
A00108,Analytics & Data,709603,Open,532202.25
A00108,AI & ML,4037393,Closed,0.0
A00108,Integration,1634711,Open,1226033.25
A00109,Database,1731505,Open,1298628.75
A00109,Security,3507494,Open,2630620.5
A00109,Applications,1203279,Open,902459.25
A00110,Security,584250,Lost,0.0
A00110,Applications,1797661,Open,1348245.75
A00111,Infrastructure,1143294,Open,857470.5
A00111,AI & ML,3549037,Open,2661777.75
A00111,Integration,8115854,Closed,0.0
A00112,Analytics & Data,1424520,Lost,0.0
A00112,AI & ML,356707,Won,0.0
A00113,Infrastructure,1186359,Open,889769.25
A00113,Database,1542604,Won,0.0
A00114,Infrastructure,621418,Open,466063.5
A00114,AI & ML,1880574,Open,1410430.5
A00114,Applications,1851675,Open,1388756.25
A00115,Integration,234585,Open,175938.75
A00116,Applications,481292,Won,0.0
A00116,Integration,1359323,Open,1019492.25
A00117,Infrastructure,2687363,Open,2015522.25
A00117,Integration,797303,Open,597977.25
A00118,Analytics & Data,1389182,Open,1041886.5
A00118,Security,3782077,Open,2836557.75
A00118,Integration,605371,Open,454028.25
A00119,Infrastructure,692247,Open,519185.25
A00119,Database,3378952,Open,2534214.0
A00119,Analytics & Data,1526711,Open,1145033.25
A00120,AI & ML,2557467,Lost,0.0
A00120,Security,2427554,Lost,0.0
A00120,Applications,1565369,Open,1174026.75
A00121,Infrastructure,1760923,Lost,0.0
A00121,Analytics & Data,2035782,Open,1526836.5
A00121,Security,388168,Open,291126.0
A00122,Database,3437272,Open,2577954.0
A00122,Integration,5155611,Open,3866708.25
A00123,AI & ML,10566237,Open,7924677.75
A00123,Applications,938459,Open,703844.25
A00123,Integration,8436142,Open,6327106.5
A00124,Security,842096,Open,631572.0
A00125,Security,567375,Open,425531.25
A00126,Database,373747,Lost,0.0
A00126,AI & ML,966437,Open,724827.75
A00126,Integration,2537957,Closed,0.0
A00127,Infrastructure,862786,Lost,0.0
A00127,Database,874148,Open,655611.0
A00128,Infrastructure,4655359,Open,3491519.25
A00128,Applications,1141483,Open,856112.25
A00129,AI & ML,582484,Won,0.0
A00131,AI & ML,1496060,Won,0.0
A00132,Analytics & Data,943256,Open,707442.0
A00132,AI & ML,3143102,Open,2357326.5
A00132,Security,648449,Open,486336.75
A00133,Database,2399302,Lost,0.0
A00133,Security,2446287,Won,0.0
A00133,Applications,1218909,Open,914181.75
A00134,Database,2051925,Open,1538943.75
A00134,Analytics & Data,2209989,Open,1657491.75
A00134,Security,2572158,Open,1929118.5
A00134,Applications,557845,Open,418383.75
A00135,Infrastructure,4528247,Open,3396185.25
A00135,Applications,1513495,Open,1135121.25
A00136,Infrastructure,1505038,Open,1128778.5
A00136,Database,2052711,Open,1539533.25
A00136,AI & ML,555327,Open,416495.25
A00137,Infrastructure,778449,Closed,0.0
A00138,Infrastructure,500992,Lost,0.0
A00138,Security,3817680,Open,2863260.0
A00139,Infrastructure,3145650,Open,2359237.5
A00139,Integration,467793,Lost,0.0
A00140,Applications,1683258,Open,1262443.5
A00140,Integration,1081503,Lost,0.0
A00141,AI & ML,738588,Lost,0.0
A00142,Infrastructure,1282091,Open,961568.25
A00142,Analytics & Data,2941128,Open,2205846.0
A00142,AI & ML,1457490,Open,1093117.5
A00142,Security,1607162,Open,1205371.5
A00142,Applications,2047078,Open,1535308.5
A00143,Infrastructure,750148,Closed,0.0
A00143,Database,605288,Lost,0.0
A00143,Analytics & Data,3937004,Open,2952753.0
A00143,Applications,443326,Open,332494.5
A00144,Database,903681,Open,677760.75
A00144,AI & ML,1166140,Open,874605.0
A00144,Applications,3094783,Open,2321087.25
A00146,Infrastructure,3055556,Lost,0.0
A00146,Analytics & Data,260415,Open,195311.25
A00146,AI & ML,1037597,Open,778197.75
A00146,Security,1924374,Open,1443280.5
A00146,Applications,1000022,Open,750016.5
A00147,AI & ML,2805332,Open,2103999.0
A00147,Security,1134615,Open,850961.25
A00147,Applications,433343,Open,325007.25
A00147,Integration,473563,Open,355172.25
A00148,Infrastructure,1122477,Open,841857.75
A00148,AI & ML,1912081,Open,1434060.75
A00149,Infrastructure,3075115,Lost,0.0
A00149,Applications,8789116,Open,6591837.0
A00151,Database,3285956,Open,2464467.0
A00151,Analytics & Data,4901835,Open,3676376.25
A00151,Security,2705072,Open,2028804.0
A00153,Integration,1286579,Open,964934.25
A00154,Security,2806347,Open,2104760.25
A00156,Database,4025670,Won,0.0
A00156,AI & ML,5015776,Open,3761832.0
A00157,Applications,1468859,Open,1101644.25
A00158,Infrastructure,1942369,Open,1456776.75
A00158,AI & ML,5704425,Open,4278318.75
A00159,AI & ML,982453,Won,0.0
A00159,Applications,1241086,Open,930814.5
A00160,Infrastructure,701486,Won,0.0
A00160,AI & ML,1359059,Won,0.0
A00160,Applications,864028,Open,648021.0
A00161,Security,736329,Lost,0.0
A00161,Applications,1549334,Won,0.0
A00162,Infrastructure,1273931,Open,955448.25
A00162,Database,2192602,Lost,0.0
A00162,Analytics & Data,2643724,Open,1982793.0
A00162,Security,747169,Open,560376.75
A00162,Applications,1608819,Open,1206614.25
A00163,Infrastructure,4855937,Open,3641952.75
A00163,Database,2535956,Lost,0.0
A00163,Integration,3508219,Won,0.0
A00164,Security,541250,Lost,0.0
A00165,Database,2379877,Open,1784907.75
A00165,Analytics & Data,222043,Open,166532.25
A00165,Security,1613520,Open,1210140.0
A00165,Applications,3068130,Lost,0.0
A00166,Infrastructure,3809109,Open,2856831.75
A00167,Analytics & Data,704461,Open,528345.75
A00167,AI & ML,663915,Open,497936.25
A00168,Security,1850403,Won,0.0
A00168,Integration,1164472,Open,873354.0
A00169,Applications,729025,Open,546768.75
A00170,AI & ML,473274,Won,0.0
A00170,Security,719342,Open,539506.5
A00170,Integration,2470412,Open,1852809.0
A00171,Infrastructure,1505856,Closed,0.0
A00171,Analytics & Data,993303,Lost,0.0
A00171,Applications,1978102,Open,1483576.5
A00172,Infrastructure,1222393,Open,916794.75
A00172,Analytics & Data,996027,Won,0.0
A00173,Integration,1920608,Open,1440456.0
A00174,Infrastructure,571369,Open,428526.75
A00174,Analytics & Data,693024,Won,0.0
A00174,AI & ML,2167286,Open,1625464.5
A00175,Database,4698846,Open,3524134.5
A00175,Applications,1075497,Open,806622.75
A00175,Integration,526706,Open,395029.5
A00176,AI & ML,750447,Lost,0.0
A00176,Applications,793076,Open,594807.0
A00177,Infrastructure,5122983,Open,3842237.25
A00177,Database,3252911,Open,2439683.25
A00177,AI & ML,1608715,Open,1206536.25
A00177,Integration,3432504,Open,2574378.0
A00178,Database,4094248,Won,0.0
A00179,Analytics & Data,1740684,Won,0.0
A00179,AI & ML,1049433,Won,0.0
A00180,Applications,2252309,Open,1689231.75
A00182,Infrastructure,1324003,Open,993002.25
A00182,Database,5859709,Open,4394781.75
A00182,AI & ML,1371662,Won,0.0
A00183,Infrastructure,3076564,Open,2307423.0
A00183,Database,1317729,Open,988296.75
A00183,AI & ML,4074876,Open,3056157.0
A00184,Infrastructure,1702335,Open,1276751.25
A00185,Applications,900337,Open,675252.75
A00185,Integration,837118,Open,627838.5
A00186,Integration,2608295,Lost,0.0
A00187,Infrastructure,888149,Open,666111.75
A00187,Analytics & Data,1209321,Lost,0.0
A00187,AI & ML,555894,Won,0.0
A00188,AI & ML,5830189,Open,4372641.75
A00189,AI & ML,2960220,Won,0.0
A00189,Security,789360,Open,592020.0
A00190,Analytics & Data,2236972,Open,1677729.0
A00190,Security,955041,Open,716280.75
A00191,Infrastructure,2833245,Open,2124933.75
A00191,Database,741812,Open,556359.0
A00191,Analytics & Data,545037,Lost,0.0
A00191,Security,1351994,Won,0.0
A00191,Integration,2706640,Open,2029980.0
A00192,Applications,1160040,Lost,0.0
A00192,Integration,1512661,Open,1134495.75
A00193,Database,1910969,Open,1433226.75
A00193,Analytics & Data,629738,Open,472303.5
A00194,AI & ML,1723115,Open,1292336.25
A00194,Security,2626602,Open,1969951.5
A00195,Analytics & Data,2346614,Lost,0.0
A00196,Security,1626610,Open,1219957.5
A00197,Infrastructure,1470708,Open,1103031.0
A00198,Infrastructure,400248,Won,0.0
A00199,Database,1103502,Open,827626.5
A00199,Analytics & Data,1676728,Closed,0.0
A00199,Security,1493375,Open,1120031.25
A00200,AI & ML,1159181,Won,0.0
A00201,Database,3972264,Open,2979198.0
A00201,Analytics & Data,2300082,Won,0.0
A00202,Database,3365403,Won,0.0
A00202,AI & ML,1007961,Open,755970.75
A00202,Integration,939573,Open,704679.75
A00203,Infrastructure,382407,Open,286805.25
A00203,Analytics & Data,7771803,Lost,0.0
A00204,Database,2007562,Open,1505671.5
A00204,Analytics & Data,3545464,Open,2659098.0
A00204,Applications,3022859,Open,2267144.25
A00205,Analytics & Data,3475109,Lost,0.0
A00205,Security,3407003,Open,2555252.25
A00205,Applications,1115942,Open,836956.5
A00206,Security,1223527,Open,917645.25
A00206,Applications,2670641,Lost,0.0
A00206,Integration,5687817,Open,4265862.75
A00207,AI & ML,306366,Lost,0.0
A00207,Security,432369,Open,324276.75
A00208,Database,1858666,Open,1393999.5
A00208,Analytics & Data,492332,Closed,0.0
A00208,Security,172880,Open,129660.0
A00208,Applications,1699663,Open,1274747.25
A00208,Integration,759403,Open,569552.25
A00209,Infrastructure,1529660,Open,1147245.0
A00209,Analytics & Data,4053707,Open,3040280.25
A00210,Database,1080207,Lost,0.0
A00210,AI & ML,1709062,Won,0.0
A00210,Security,831735,Open,623801.25
A00211,AI & ML,2609818,Open,1957363.5
A00211,Applications,503496,Open,377622.0
A00212,AI & ML,591927,Lost,0.0
A00212,Integration,1707083,Lost,0.0
A00213,Infrastructure,3845287,Open,2883965.25
A00213,Database,2642787,Open,1982090.25
A00213,AI & ML,4732638,Open,3549478.5
A00213,Security,1575160,Open,1181370.0
A00213,Integration,608414,Open,456310.5
A00214,Infrastructure,195464,Open,146598.0
A00214,Analytics & Data,5408017,Open,4056012.75
A00214,AI & ML,3096387,Open,2322290.25
A00214,Applications,1318640,Closed,0.0
A00215,Database,730504,Open,547878.0
A00215,Applications,828316,Open,621237.0
A00216,Database,1306293,Closed,0.0
A00217,Infrastructure,1167918,Open,875938.5
A00217,Analytics & Data,1992992,Closed,0.0
A00217,AI & ML,1368323,Closed,0.0
A00217,Applications,794645,Open,595983.75
A00217,Integration,515984,Open,386988.0
A00218,Analytics & Data,817248,Open,612936.0
A00219,Database,4078847,Open,3059135.25
A00219,Analytics & Data,1408132,Open,1056099.0
A00219,AI & ML,1316351,Open,987263.25
A00219,Integration,2270158,Open,1702618.5
A00220,Applications,1631051,Closed,0.0
A00221,Infrastructure,6153618,Won,0.0
A00221,Security,6170670,Open,4628002.5
A00221,Integration,1316276,Closed,0.0
A00222,Database,1843475,Lost,0.0
A00223,Infrastructure,1062275,Open,796706.25
A00223,Analytics & Data,910248,Open,682686.0
A00225,Database,2950590,Open,2212942.5
A00225,Analytics & Data,3563646,Open,2672734.5
A00225,AI & ML,5154578,Open,3865933.5
A00225,Applications,641059,Open,480794.25
A00226,Analytics & Data,3579585,Open,2684688.75
A00226,Security,1629722,Open,1222291.5
A00226,Integration,958112,Lost,0.0
A00227,Analytics & Data,2652247,Won,0.0
A00227,Security,2096508,Lost,0.0
A00227,Integration,766277,Lost,0.0
A00228,Infrastructure,2052691,Open,1539518.25
A00228,Applications,1261298,Open,945973.5
A00229,Database,1301730,Open,976297.5
A00229,Analytics & Data,350299,Open,262724.25
A00229,AI & ML,360948,Open,270711.0
A00230,Database,992219,Open,744164.25
A00230,Analytics & Data,2311028,Lost,0.0
A00230,AI & ML,482753,Won,0.0
A00230,Security,493860,Lost,0.0
A00231,Analytics & Data,1024004,Won,0.0
A00232,Database,1441338,Open,1081003.5
A00232,Analytics & Data,1043334,Open,782500.5
A00232,AI & ML,1438538,Lost,0.0
A00233,Analytics & Data,1786684,Open,1340013.0
A00233,Integration,1330528,Open,997896.0
A00234,Analytics & Data,1778467,Open,1333850.25
A00234,Security,850241,Lost,0.0
A00234,Applications,1743550,Open,1307662.5
A00234,Integration,1891659,Won,0.0
A00236,Security,834302,Lost,0.0
A00236,Applications,1659347,Open,1244510.25
A00236,Integration,1529488,Closed,0.0
A00237,AI & ML,1884095,Open,1413071.25
A00237,Integration,308369,Open,231276.75
A00238,AI & ML,1268292,Won,0.0
A00239,Database,4196815,Open,3147611.25
A00239,Security,1098830,Open,824122.5
A00239,Applications,908993,Won,0.0
A00240,Infrastructure,988971,Open,741728.25
A00240,Security,1994699,Open,1496024.25
A00241,Security,2919300,Closed,0.0
A00241,Applications,1964843,Open,1473632.25
A00242,AI & ML,1621552,Open,1216164.0
A00243,Database,750974,Open,563230.5
A00243,Security,1784543,Open,1338407.25
A00243,Integration,3011076,Open,2258307.0
A00244,Infrastructure,1329868,Open,997401.0
A00244,Applications,2300073,Closed,0.0
A00244,Integration,296974,Open,222730.5
A00245,Infrastructure,859452,Closed,0.0
A00245,AI & ML,5988477,Open,4491357.75
A00245,Applications,1311414,Lost,0.0
A00248,Infrastructure,1252335,Open,939251.25
A00248,Security,1285290,Open,963967.5
A00249,Infrastructure,3387949,Open,2540961.75
A00249,Database,694874,Open,521155.5
A00250,Database,2018940,Open,1514205.0
A00250,Applications,2933014,Lost,0.0
A00250,Integration,1248916,Open,936687.0
A00251,Database,1534748,Open,1151061.0
A00252,AI & ML,1190006,Won,0.0
A00252,Integration,2304187,Closed,0.0
A00253,Database,828744,Lost,0.0
A00253,Analytics & Data,3453410,Open,2590057.5
A00254,Security,983629,Open,737721.75
A00254,Applications,3626745,Won,0.0
A00255,Infrastructure,288603,Lost,0.0
A00255,Applications,3360140,Closed,0.0
A00256,Infrastructure,774164,Open,580623.0
A00256,Database,2276860,Lost,0.0
A00257,Infrastructure,1048614,Open,786460.5
A00257,Database,2301597,Closed,0.0
A00258,AI & ML,1116319,Lost,0.0
A00258,Security,701960,Open,526470.0
A00259,Infrastructure,806264,Won,0.0
A00259,Analytics & Data,4955635,Open,3716726.25
A00259,AI & ML,2398580,Open,1798935.0
A00259,Security,800334,Open,600250.5
A00260,Infrastructure,565407,Lost,0.0
A00260,Database,2232604,Closed,0.0
A00260,AI & ML,421150,Open,315862.5
A00260,Integration,457198,Open,342898.5
A00261,Analytics & Data,1119372,Open,839529.0
A00261,AI & ML,1472284,Won,0.0
A00261,Applications,362253,Won,0.0
A00262,Integration,1196759,Open,897569.25
A00263,AI & ML,1065950,Open,799462.5
A00263,Integration,1200264,Open,900198.0
A00264,Analytics & Data,537060,Lost,0.0
A00265,Database,1322619,Open,991964.25
A00265,AI & ML,3129400,Open,2347050.0
A00266,Database,1066589,Open,799941.75
A00266,Security,1344102,Open,1008076.5
A00266,Applications,4278194,Open,3208645.5
A00267,Infrastructure,1043005,Closed,0.0
A00267,Database,955928,Open,716946.0
A00267,Analytics & Data,550859,Open,413144.25
A00267,AI & ML,3561386,Won,0.0
A00267,Applications,660608,Open,495456.0
A00270,Integration,1434926,Open,1076194.5
A00271,Infrastructure,1593509,Open,1195131.75
A00271,Database,865809,Open,649356.75
A00271,Analytics & Data,2332794,Won,0.0
A00271,Applications,3458911,Open,2594183.25
A00272,Infrastructure,1371171,Open,1028378.25
A00273,Database,2325311,Open,1743983.25
A00273,Security,1588041,Open,1191030.75
A00273,Applications,1931300,Closed,0.0
A00274,Applications,407551,Open,305663.25
A00275,Applications,2033870,Open,1525402.5
A00275,Integration,3464919,Open,2598689.25
A00276,AI & ML,338660,Won,0.0
A00277,Analytics & Data,820193,Open,615144.75
A00278,Infrastructure,256534,Lost,0.0
A00278,Analytics & Data,864559,Open,648419.25
A00278,Applications,2840503,Open,2130377.25
A00279,Infrastructure,1168673,Open,876504.75
A00279,AI & ML,1519816,Open,1139862.0
A00279,Security,5124048,Open,3843036.0
A00280,Analytics & Data,738304,Open,553728.0
A00280,Security,394879,Closed,0.0
A00280,Integration,2282707,Open,1712030.25
A00281,Database,1375702,Open,1031776.5
A00281,Integration,982631,Open,736973.25
A00282,Security,787924,Lost,0.0
A00282,Integration,331483,Open,248612.25
A00283,Infrastructure,802085,Open,601563.75
A00283,Analytics & Data,4927934,Open,3695950.5
A00283,Security,790684,Open,593013.0
A00283,Applications,3504609,Open,2628456.75
A00284,Infrastructure,999460,Open,749595.0
A00284,Integration,1408846,Open,1056634.5
A00285,AI & ML,1296347,Lost,0.0
A00285,Applications,1268340,Open,951255.0
A00285,Integration,1775688,Open,1331766.0
