rank,account_id,account_name,region,industry,product_family,deployment,type,score,band,pipeline,open_count,Customer fit,Customer intent,Product engagement,Product whitespace,Modernization,Competitive intensity,Product pipeline
19,A02369,Synthetic Account 2369,EMEA,Healthcare,Infrastructure,On-Premise,Modernization,87.1,Very Strong,15281104.0,1,100.0,99.988674,98,0,85,98,98.588207
20,A02317,Synthetic Account 2317,APAC,Healthcare,Database,On-Premise,Modernization,87.1,Very Strong,15264263.0,1,100.0,99.988674,99,0,85,97,98.479555
21,A01135,Synthetic Account 1135,North America,Telecommunications,Security,On-Premise,Modernization,87.1,Very Strong,15215293.0,1,100.0,99.909394,99,0,85,97,98.163618
22,A01742,Synthetic Account 1742,North America,Healthcare,Security,On-Premise,Modernization,87.1,Very Strong,15097143.0,1,100.0,99.88108,99,0,85,98,97.401356
23,A00635,Synthetic Account 635,North America,Healthcare,Database,On-Premise,Modernization,87.1,Very Strong,14928241.0,1,100.0,99.943371,98,0,85,100,96.311661
24,A02844,Synthetic Account 2844,North America,Energy,Infrastructure,On-Premise,Modernization,87.1,Very Strong,14577931.0,1,100.0,99.824451,100,0,85,100,94.051586
25,A01979,Synthetic Account 1979,EMEA,Financial Services,Security,On-Premise,Modernization,87.0,Very Strong,15151787.0,1,100.0,99.847103,97,0,85,100,97.7539
26,A02317,Synthetic Account 2317,APAC,Healthcare,Infrastructure,On-Premise,Modernization,87.0,Very Strong,15072119.0,1,100.0,99.988674,98,0,85,98,97.23991
27,A02189,Synthetic Account 2189,North America,Manufacturing,Security,On-Premise,Modernization,87.0,Very Strong,14860967.0,1,100.0,99.830114,98,0,85,100,95.877633
28,A00641,Synthetic Account 641,EMEA,Financial Services,Applications,On-Premise,Modernization,86.9,Very Strong,15069006.0,1,100.0,99.926383,98,0,85,97,97.219826
29,A02644,Synthetic Account 2644,EMEA,Healthcare,Applications,On-Premise,Modernization,86.9,Very Strong,15055352.0,1,100.0,99.818789,97,0,85,99,97.131736
30,A01100,Synthetic Account 1100,Latin America,Energy,Infrastructure,On-Premise,Modernization,86.9,Very Strong,14883701.0,1,100.0,99.847103,99,0,85,97,96.024305
31,A02473,Synthetic Account 2473,APAC,Manufacturing,Applications,On-Premise,Modernization,86.9,Very Strong,14765665.0,1,100.0,99.852766,100,0,85,97,95.262779
32,A00672,Synthetic Account 672,Latin America,Energy,Database,On-Premise,Modernization,86.9,Very Strong,14695661.0,1,100.0,99.835777,98,0,85,100,94.811138
33,A02710,Synthetic Account 2710,APAC,Healthcare,Security,On-Premise,Modernization,86.8,Very Strong,15268504.0,1,100.0,99.858429,97,0,85,97,98.506916
34,A01714,Synthetic Account 1714,APAC,Energy,Infrastructure,On-Premise,Modernization,86.8,Very Strong,15041641.0,1,100.0,99.937709,98,0,85,97,97.043277
35,A02710,Synthetic Account 2710,APAC,Healthcare,Infrastructure,On-Premise,Modernization,86.8,Very Strong,15032637.0,1,100.0,99.858429,97,0,85,98,96.985187
36,A02996,Synthetic Account 2996,North America,Telecommunications,Security,On-Premise,Modernization,86.8,Very Strong,14980194.0,1,100.0,99.830114,98,0,85,97,96.646843
37,A00672,Synthetic Account 672,Latin America,Energy,Security,On-Premise,Modernization,86.8,Very Strong,14849407.0,1,100.0,99.835777,98,0,85,98,95.803052
38,A00641,Synthetic Account 641,EMEA,Financial Services,Infrastructure,On-Premise,Modernization,86.8,Very Strong,14713093.0,1,100.0,99.926383,98,0,85,99,94.923603
39,A00992,Synthetic Account 992,Latin America,Telecommunications,Infrastructure,On-Premise,Modernization,86.7,Very Strong,15041563.0,1,100.0,99.835777,97,0,85,97,97.042774
40,A01284,Synthetic Account 1284,EMEA,Energy,Applications,On-Premise,Modernization,86.7,Very Strong,14755109.0,1,100.0,99.852766,97,0,85,99,95.194675
41,A01264,Synthetic Account 1264,North America,Healthcare,Applications,On-Premise,Modernization,86.6,Very Strong,14831691.0,1,100.0,99.869754,97,0,85,98,95.688755
42,A01916,Synthetic Account 1916,North America,Telecommunications,Applications,On-Premise,Modernization,86.6,Very Strong,14765752.0,1,100.0,100.0,97,0,85,98,95.26334
43,A02067,Synthetic Account 2067,APAC,Energy,Infrastructure,On-Premise,Modernization,86.4,Very Strong,15487495.0,1,94.0,99.966023,99,0,85,100,99.919767
44,A00979,Synthetic Account 979,North America,Telecommunications,Infrastructure,On-Premise,Modernization,86.3,Very Strong,15092534.0,1,94.0,99.84144,100,0,85,100,97.371621
45,A01770,Synthetic Account 1770,Latin America,Telecommunications,Database,On-Premise,Modernization,86.2,Very Strong,15376681.0,1,94.0,99.84144,100,0,85,98,99.204835
46,A00044,Synthetic Account 44,Latin America,Manufacturing,Database,On-Premise,Modernization,86.2,Very Strong,15317909.0,1,94.0,99.835777,100,0,85,98,98.825659
47,A01025,Synthetic Account 1025,EMEA,Manufacturing,Security,On-Premise,Modernization,86.2,Very Strong,15234532.0,1,94.0,99.869754,99,0,85,100,98.287741
48,A02106,Synthetic Account 2106,APAC,Financial Services,Security,On-Premise,Modernization,86.1,Very Strong,15494444.0,1,94.0,99.790474,99,0,85,97,99.9646
49,A00979,Synthetic Account 979,North America,Telecommunications,Security,On-Premise,Modernization,86.1,Very Strong,15181051.0,1,94.0,99.84144,99,0,85,99,97.942701
50,A02170,Synthetic Account 2170,APAC,Financial Services,Applications,On-Premise,Modernization,86.1,Very Strong,15109227.0,1,94.0,99.830114,100,0,85,98,97.479318
51,A01500,Synthetic Account 1500,Latin America,Energy,Applications,On-Premise,Modernization,86.0,Very Strong,15421696.0,1,94.0,99.88108,97,0,85,100,99.495256
52,A01865,Synthetic Account 1865,North America,Healthcare,Database,On-Premise,Modernization,86.0,Very Strong,15350743.0,1,94.0,100.0,99,0,85,97,99.037492
53,A01867,Synthetic Account 1867,Latin America,Financial Services,Database,On-Premise,Modernization,86.0,Very Strong,15215422.0,1,94.0,99.858429,99,0,85,98,98.16445
54,A01865,Synthetic Account 1865,North America,Healthcare,Applications,On-Premise,Modernization,86.0,Very Strong,15101460.0,1,94.0,100.0,99,0,85,99,97.429208
55,A02354,Synthetic Account 2354,Latin America,Manufacturing,Infrastructure,On-Premise,Modernization,86.0,Very Strong,14817310.0,1,94.0,99.898069,100,0,85,99,95.595974
56,A01867,Synthetic Account 1867,Latin America,Financial Services,Applications,On-Premise,Modernization,85.9,Very Strong,15428058.0,1,94.0,99.858429,98,0,85,97,99.536301
57,A01434,Synthetic Account 1434,EMEA,Financial Services,Applications,On-Premise,Modernization,85.9,Very Strong,15408713.0,1,94.0,99.932046,97,0,85,99,99.411494
58,A02233,Synthetic Account 2233,Latin America,Telecommunications,Security,On-Premise,Modernization,85.9,Very Strong,15256712.0,1,94.0,99.915057,99,0,85,97,98.430838
59,A02106,Synthetic Account 2106,APAC,Financial Services,Database,On-Premise,Modernization,85.9,Very Strong,15222358.0,1,94.0,99.790474,98,0,85,99,98.209198
60,A02801,Synthetic Account 2801,EMEA,Energy,Security,On-Premise,Modernization,85.9,Very Strong,15215172.0,1,94.0,99.898069,98,0,85,99,98.162837
61,A01434,Synthetic Account 1434,EMEA,Financial Services,Infrastructure,On-Premise,Modernization,85.9,Very Strong,14624793.0,1,94.0,99.932046,100,0,85,99,94.353923
62,A01865,Synthetic Account 1865,North America,Healthcare,Security,On-Premise,Modernization,85.8,Very Strong,14773485.0,1,94.0,100.0,99,0,85,99,95.313231
63,A01050,Synthetic Account 1050,North America,Healthcare,Database,On-Premise,Modernization,85.7,Very Strong,15137137.0,1,94.0,99.903731,97,0,85,99,97.659383
64,A01553,Synthetic Account 1553,EMEA,Telecommunications,Security,On-Premise,Modernization,85.7,Very Strong,15053273.0,1,94.0,99.830114,98,0,85,98,97.118323
65,A01025,Synthetic Account 1025,EMEA,Manufacturing,Applications,On-Premise,Modernization,85.7,Very Strong,14855767.0,1,94.0,99.869754,99,0,85,97,95.844085
66,A02170,Synthetic Account 2170,APAC,Financial Services,Security,On-Premise,Modernization,85.7,Very Strong,14819669.0,1,94.0,99.830114,99,0,85,98,95.611193
67,A02233,Synthetic Account 2233,Latin America,Telecommunications,Infrastructure,On-Premise,Modernization,85.7,Very Strong,14775544.0,1,94.0,99.915057,98,0,85,99,95.326515
68,A02695,Synthetic Account 2695,EMEA,Healthcare,Infrastructure,On-Premise,Modernization,85.7,Very Strong,14739054.0,1,94.0,99.937709,100,0,85,97,95.091094
69,A02233,Synthetic Account 2233,Latin America,Telecommunications,Applications,On-Premise,Modernization,85.7,Very Strong,14732991.0,1,94.0,99.915057,98,0,85,100,95.051978
70,A02067,Synthetic Account 2067,APAC,Energy,Applications,On-Premise,Modernization,85.7,Very Strong,14661567.0,1,94.0,99.966023,98,0,85,100,94.591176
71,A02547,Synthetic Account 2547,North America,Healthcare,Infrastructure,On-Premise,Modernization,85.7,Very Strong,14575090.0,1,94.0,99.84144,99,0,85,99,94.033257
72,A02479,Synthetic Account 2479,Latin America,Healthcare,Database,On-Premise,Modernization,85.6,Very Strong,15226963.0,1,94.0,99.767823,97,0,85,97,98.238908
73,A02283,Synthetic Account 2283,Latin America,Telecommunications,Database,On-Premise,Modernization,85.6,Very Strong,14749587.0,1,94.0,99.915057,99,0,85,97,95.159049
74,A02837,Synthetic Account 2837,North America,Energy,Applications,On-Premise,Modernization,85.6,Very Strong,14581863.0,1,94.0,99.852766,100,0,85,97,94.076954
75,A02106,Synthetic Account 2106,APAC,Financial Services,Applications,On-Premise,Modernization,85.5,Very Strong,15142272.0,1,94.0,99.790474,97,0,85,97,97.692512
76,A01856,Synthetic Account 1856,Latin America,Financial Services,Security,On-Premise,Modernization,85.5,Very Strong,14955357.0,1,94.0,99.892406,97,0,85,98,96.486604
77,A01504,Synthetic Account 1504,APAC,Financial Services,Infrastructure,On-Premise,Modernization,85.5,Very Strong,14602210.0,1,94.0,99.813126,98,0,85,99,94.208226
78,A02695,Synthetic Account 2695,EMEA,Healthcare,Security,On-Premise,Modernization,85.4,Very Strong,14677751.0,1,94.0,99.937709,97,0,85,98,94.695589
79,A00670,Synthetic Account 670,EMEA,Telecommunications,Applications,On-Premise,Modernization,85.3,Very Strong,14652741.0,1,94.0,99.926383,97,0,85,98,94.534234
80,A02436,Synthetic Account 2436,North America,Telecommunications,Database,On-Premise,Modernization,85.3,Very Strong,14589600.0,1,94.0,99.937709,97,0,85,98,94.126871
81,A00610,Synthetic Account 610,APAC,Energy,Infrastructure,On-Premise,Modernization,85.2,Very Strong,15393516.0,1,89.5,98.397411,100,0,85,99,99.313449
82,A02106,Synthetic Account 2106,APAC,Financial Services,Infrastructure,On-Premise,Modernization,85.2,Very Strong,14677412.0,1,94.0,99.790474,97,0,85,97,94.693402
83,A00610,Synthetic Account 610,APAC,Energy,Applications,On-Premise,Modernization,85.1,Very Strong,15482649.0,1,89.5,98.397411,99,0,85,99,99.888503
84,A00040,Synthetic Account 40,Latin America,Financial Services,Infrastructure,On-Premise,Modernization,84.9,Strong,15218976.0,1,89.5,98.510668,98,0,85,100,98.187379
85,A01143,Synthetic Account 1143,North America,Energy,Integration,No Footprint,Whitespace,84.8,Strong,15238602.0,1,100.0,99.932046,100,100,0,100,98.313999
86,A00983,Synthetic Account 983,EMEA,Telecommunications,Database,On-Premise,Modernization,84.8,Strong,15072228.0,1,89.5,98.363434,99,0,85,99,97.240614
87,A00042,Synthetic Account 42,Latin America,Energy,Infrastructure,On-Premise,Modernization,84.8,Strong,14820543.0,1,89.5,98.476691,100,0,85,99,95.616832
88,A01024,Synthetic Account 1024,North America,Telecommunications,Applications,No Footprint,Whitespace,84.7,Strong,15482230.0,1,100.0,99.892406,100,100,0,97,99.885799
89,A02247,Synthetic Account 2247,APAC,Manufacturing,AI & ML,No Footprint,Whitespace,84.7,Strong,15316715.0,1,100.0,99.898069,100,100,0,98,98.817956
90,A00635,Synthetic Account 635,North America,Healthcare,Security,No Footprint,Whitespace,84.7,Strong,15207818.0,1,100.0,99.943371,99,100,0,100,98.115392
91,A02710,Synthetic Account 2710,APAC,Healthcare,Integration,No Footprint,Whitespace,84.7,Strong,15037498.0,1,100.0,99.858429,100,100,0,100,97.016548
92,A01853,Synthetic Account 1853,Latin America,Financial Services,Analytics & Data,Hybrid,Modernization,84.6,Strong,15320924.0,1,100.0,99.824451,100,0,65,100,98.845111
93,A02189,Synthetic Account 2189,North America,Manufacturing,AI & ML,No Footprint,Whitespace,84.6,Strong,15135160.0,1,100.0,99.830114,99,100,0,100,97.646628
94,A01143,Synthetic Account 1143,North America,Energy,Database,No Footprint,Whitespace,84.6,Strong,15081377.0,1,100.0,99.932046,99,100,0,100,97.29964
95,A02247,Synthetic Account 2247,APAC,Manufacturing,Applications,No Footprint,Whitespace,84.6,Strong,15025324.0,1,100.0,99.898069,100,100,0,99,96.938006
96,A01860,Synthetic Account 1860,EMEA,Telecommunications,Integration,No Footprint,Whitespace,84.6,Strong,14945663.0,1,100.0,100.0,100,100,0,100,96.424062
97,A02394,Synthetic Account 2394,North America,Energy,Applications,No Footprint,Whitespace,84.5,Strong,15486754.0,1,100.0,99.847103,98,100,0,98,99.914987
98,A00635,Synthetic Account 635,North America,Healthcare,Analytics & Data,Hybrid,Modernization,84.5,Strong,15452119.0,1,100.0,99.943371,99,0,65,99,99.691534
99,A02189,Synthetic Account 2189,North America,Manufacturing,Analytics & Data,No Footprint,Whitespace,84.5,Strong,15445713.0,1,100.0,99.830114,98,100,0,99,99.650205
100,A02369,Synthetic Account 2369,EMEA,Healthcare,Integration,Hybrid,Modernization,84.5,Strong,15344003.0,1,100.0,99.988674,99,0,65,100,98.994008
101,A00378,Synthetic Account 378,Latin America,Telecommunications,Infrastructure,No Footprint,Whitespace,84.5,Strong,15256313.0,1,100.0,99.824451,99,100,0,98,98.428264
102,A01143,Synthetic Account 1143,North America,Energy,Security,No Footprint,Whitespace,84.5,Strong,15245436.0,1,100.0,99.932046,98,100,0,100,98.358089
103,A01376,Synthetic Account 1376,Latin America,Telecommunications,Security,No Footprint,Whitespace,84.5,Strong,15065344.0,1,100.0,99.864091,99,100,0,100,97.1962
104,A01607,Synthetic Account 1607,Latin America,Energy,Security,Hybrid,Modernization,84.4,Strong,15415105.0,1,100.0,99.813126,99,0,65,99,99.452733
105,A02394,Synthetic Account 2394,North America,Energy,Database,Hybrid,Modernization,84.4,Strong,15326489.0,1,100.0,99.847103,100,0,65,98,98.881014
106,A02856,Synthetic Account 2856,North America,Healthcare,Applications,Hybrid,Modernization,84.4,Strong,15324947.0,1,100.0,99.824451,100,0,65,98,98.871066
107,A00273,Synthetic Account 273,EMEA,Financial Services,Applications,Hybrid,Modernization,84.4,Strong,15301037.0,1,100.0,99.915057,99,0,65,99,98.716807
108,A00592,Synthetic Account 592,Latin America,Energy,Applications,No Footprint,Whitespace,84.4,Strong,15288522.0,1,100.0,99.818789,98,100,0,99,98.636065
109,A01315,Synthetic Account 1315,EMEA,Consumer Goods,Security,On-Premise,Modernization,84.4,Strong,15204539.0,1,86.5,98.437051,100,0,85,99,98.094237
110,A02263,Synthetic Account 2263,Latin America,Healthcare,AI & ML,No Footprint,Whitespace,84.4,Strong,15146856.0,1,100.0,99.824451,100,100,0,97,97.722087
111,A02423,Synthetic Account 2423,EMEA,Telecommunications,Analytics & Data,No Footprint,Whitespace,84.4,Strong,15118585.0,1,100.0,99.847103,100,100,0,97,97.539692
112,A02602,Synthetic Account 2602,APAC,Manufacturing,Security,No Footprint,Whitespace,84.4,Strong,15095082.0,1,100.0,99.739509,99,100,0,99,97.388059
113,A02602,Synthetic Account 2602,APAC,Manufacturing,AI & ML,No Footprint,Whitespace,84.4,Strong,15057347.0,1,100.0,99.739509,99,100,0,99,97.144607
114,A02517,Synthetic Account 2517,Latin America,Healthcare,Database,No Footprint,Whitespace,84.4,Strong,14972550.0,1,100.0,99.943371,100,100,0,98,96.597527
115,A02644,Synthetic Account 2644,EMEA,Healthcare,Analytics & Data,No Footprint,Whitespace,84.4,Strong,14765260.0,1,100.0,99.818789,100,100,0,99,95.260166
116,A00931,Synthetic Account 931,EMEA,Financial Services,Applications,Hybrid,Modernization,84.3,Strong,15488805.0,1,100.0,99.852766,98,0,65,99,99.928219
117,A01853,Synthetic Account 1853,Latin America,Financial Services,AI & ML,No Footprint,Whitespace,84.3,Strong,15402150.0,1,100.0,99.824451,98,100,0,97,99.369152
118,A02369,Synthetic Account 2369,EMEA,Healthcare,Security,Hybrid,Modernization,84.3,Strong,15287334.0,1,100.0,99.988674,100,0,65,97,98.6284
119,A02189,Synthetic Account 2189,North America,Manufacturing,Database,Hybrid,Modernization,84.3,Strong,15242089.0,1,100.0,99.830114,99,0,65,99,98.336496
120,A01305,Synthetic Account 1305,North America,Energy,AI & ML,No Footprint,Whitespace,84.3,Strong,15236644.0,1,100.0,99.875417,98,100,0,98,98.301367
121,A01024,Synthetic Account 1024,North America,Telecommunications,Infrastructure,Hybrid,Modernization,84.3,Strong,15105166.0,1,100.0,99.892406,99,0,65,100,97.453118
122,A00641,Synthetic Account 641,EMEA,Financial Services,Database,Hybrid,Modernization,84.3,Strong,15097809.0,1,100.0,99.926383,100,0,65,98,97.405653
123,A02996,Synthetic Account 2996,North America,Telecommunications,Integration,Hybrid,Modernization,84.3,Strong,14965843.0,1,100.0,99.830114,100,0,65,99,96.554256
124,A01135,Synthetic Account 1135,North America,Telecommunications,AI & ML,No Footprint,Whitespace,84.3,Strong,14899940.0,1,100.0,99.909394,99,100,0,99,96.129073
125,A02317,Synthetic Account 2317,APAC,Healthcare,Analytics & Data,No Footprint,Whitespace,84.3,Strong,14894463.0,1,100.0,99.988674,98,100,0,100,96.093737
126,A01135,Synthetic Account 1135,North America,Telecommunications,Applications,No Footprint,Whitespace,84.3,Strong,14830204.0,1,100.0,99.909394,100,100,0,98,95.679161
127,A02818,Synthetic Account 2818,North America,Healthcare,Database,On-Premise,Modernization,84.3,Strong,14800163.0,1,89.5,98.148246,98,0,85,98,95.485348
128,A02401,Synthetic Account 2401,APAC,Manufacturing,Integration,No Footprint,Whitespace,84.3,Strong,14748692.0,1,100.0,99.898069,99,100,0,100,95.153275
129,A01607,Synthetic Account 1607,Latin America,Energy,Integration,No Footprint,Whitespace,84.3,Strong,14704080.0,1,100.0,99.813126,100,100,0,99,94.865455
130,A00592,Synthetic Account 592,Latin America,Energy,Database,No Footprint,Whitespace,84.3,Strong,14675214.0,1,100.0,99.818789,99,100,0,100,94.679221
131,A01916,Synthetic Account 1916,North America,Telecommunications,Analytics & Data,No Footprint,Whitespace,84.3,Strong,14609087.0,1,100.0,100.0,100,100,0,99,94.252594
132,A01916,Synthetic Account 1916,North America,Telecommunications,Security,No Footprint,Whitespace,84.3,Strong,14582063.0,1,100.0,100.0,99,100,0,100,94.078245
133,A02011,Synthetic Account 2011,North America,Energy,Analytics & Data,No Footprint,Whitespace,84.2,Strong,15243408.0,1,100.0,99.937709,97,100,0,98,98.345006
134,A02247,Synthetic Account 2247,APAC,Manufacturing,Security,No Footprint,Whitespace,84.2,Strong,15191424.0,1,100.0,99.898069,97,100,0,99,98.009623
135,A01592,Synthetic Account 1592,EMEA,Energy,AI & ML,No Footprint,Whitespace,84.2,Strong,14987615.0,1,100.0,99.903731,99,100,0,97,96.694721
136,A00273,Synthetic Account 273,EMEA,Financial Services,Integration,No Footprint,Whitespace,84.2,Strong,14910610.0,1,100.0,99.915057,97,100,0,100,96.197912
137,A02247,Synthetic Account 2247,APAC,Manufacturing,Integration,Hybrid,Modernization,84.2,Strong,14888774.0,1,100.0,99.898069,99,0,65,100,96.057034
138,A00042,Synthetic Account 42,Latin America,Energy,Security,On-Premise,Modernization,84.2,Strong,14584392.0,1,89.5,98.476691,97,0,85,99,94.09327
139,A02107,Synthetic Account 2107,APAC,Energy,Infrastructure,On-Premise,Modernization,84.1,Strong,15493656.0,1,89.5,94.953504,97,0,85,99,99.959516
140,A01284,Synthetic Account 1284,EMEA,Energy,Database,Hybrid,Modernization,84.1,Strong,15297412.0,1,100.0,99.852766,99,0,65,97,98.69342
141,A01376,Synthetic Account 1376,Latin America,Telecommunications,Analytics & Data,Hybrid,Modernization,84.1,Strong,15232583.0,1,100.0,99.864091,98,0,65,98,98.275167
142,A02710,Synthetic Account 2710,APAC,Healthcare,Applications,No Footprint,Whitespace,84.1,Strong,15193143.0,1,100.0,99.858429,97,100,0,98,98.020714
143,A01100,Synthetic Account 1100,Latin America,Energy,Integration,No Footprint,Whitespace,84.1,Strong,15141472.0,1,100.0,99.847103,98,100,0,97,97.687351
144,A01742,Synthetic Account 1742,North America,Healthcare,Integration,Hybrid,Modernization,84.1,Strong,15067256.0,1,100.0,99.88108,100,0,65,97,97.208536
145,A01916,Synthetic Account 1916,North America,Telecommunications,Infrastructure,No Footprint,Whitespace,84.1,Strong,14974497.0,1,100.0,100.0,98,100,0,97,96.610088
146,A01024,Synthetic Account 1024,North America,Telecommunications,Integration,Hybrid,Modernization,84.1,Strong,14935066.0,1,100.0,99.892406,100,0,65,97,96.355693
147,A01732,Synthetic Account 1732,EMEA,Energy,Database,On-Premise,Modernization,84.1,Strong,14890552.0,1,89.5,98.159571,97,0,85,97,96.068505
148,A01024,Synthetic Account 1024,North America,Telecommunications,Database,No Footprint,Whitespace,84.1,Strong,14836957.0,1,100.0,99.892406,97,100,0,100,95.722729
149,A00992,Synthetic Account 992,Latin America,Telecommunications,Applications,No Footprint,Whitespace,84.1,Strong,14820057.0,1,100.0,99.835777,98,100,0,99,95.613697
150,A02247,Synthetic Account 2247,APAC,Manufacturing,Database,Hybrid,Modernization,84.1,Strong,14762849.0,1,100.0,99.898069,99,0,65,100,95.244611
151,A02856,Synthetic Account 2856,North America,Healthcare,AI & ML,No Footprint,Whitespace,84.1,Strong,14756319.0,1,100.0,99.824451,98,100,0,99,95.202482
152,A02423,Synthetic Account 2423,EMEA,Telecommunications,Database,No Footprint,Whitespace,84.1,Strong,14687714.0,1,100.0,99.847103,99,100,0,98,94.759867
153,A02369,Synthetic Account 2369,EMEA,Healthcare,Applications,No Footprint,Whitespace,84.1,Strong,14685347.0,1,100.0,99.988674,98,100,0,99,94.744596
154,A01607,Synthetic Account 1607,Latin America,Energy,Analytics & Data,No Footprint,Whitespace,84.1,Strong,14643136.0,1,100.0,99.813126,98,100,0,100,94.472266
155,A00273,Synthetic Account 273,EMEA,Financial Services,Database,Hybrid,Modernization,84.0,Strong,15102835.0,1,100.0,99.915057,99,0,65,97,97.438079
156,A01853,Synthetic Account 1853,Latin America,Financial Services,Security,Hybrid,Modernization,84.0,Strong,15021423.0,1,100.0,99.824451,97,0,65,100,96.912838
157,A02394,Synthetic Account 2394,North America,Energy,Analytics & Data,No Footprint,Whitespace,84.0,Strong,14994680.0,1,100.0,99.847103,97,100,0,98,96.740302
158,A02263,Synthetic Account 2263,Latin America,Healthcare,Database,No Footprint,Whitespace,84.0,Strong,14979912.0,1,100.0,99.824451,97,100,0,98,96.645024
159,A02587,Synthetic Account 2587,Latin America,Energy,Database,On-Premise,Modernization,84.0,Strong,14938688.0,1,89.5,94.693012,99,0,85,99,96.379061
160,A02996,Synthetic Account 2996,North America,Telecommunications,Analytics & Data,Hybrid,Modernization,84.0,Strong,14911970.0,1,100.0,99.830114,100,0,65,97,96.206686
161,A01305,Synthetic Account 1305,North America,Energy,Integration,Hybrid,Modernization,84.0,Strong,14908001.0,1,100.0,99.875417,99,0,65,98,96.18108
162,A00672,Synthetic Account 672,Latin America,Energy,Infrastructure,No Footprint,Whitespace,84.0,Strong,14906565.0,1,100.0,99.835777,98,100,0,97,96.171815
163,A00378,Synthetic Account 378,Latin America,Telecommunications,Integration,No Footprint,Whitespace,84.0,Strong,14887832.0,1,100.0,99.824451,98,100,0,97,96.050957
164,A00931,Synthetic Account 931,EMEA,Financial Services,Infrastructure,No Footprint,Whitespace,84.0,Strong,14783082.0,1,100.0,99.852766,98,100,0,98,95.375147
165,A02423,Synthetic Account 2423,EMEA,Telecommunications,Integration,No Footprint,Whitespace,84.0,Strong,14761478.0,1,100.0,99.847103,97,100,0,100,95.235766
166,A02401,Synthetic Account 2401,APAC,Manufacturing,Applications,Hybrid,Modernization,84.0,Strong,14581460.0,1,100.0,99.898069,100,0,65,99,94.074354
167,A02602,Synthetic Account 2602,APAC,Manufacturing,Applications,No Footprint,Whitespace,83.9,Strong,15040727.0,1,100.0,99.739509,97,100,0,97,97.03738
168,A02644,Synthetic Account 2644,EMEA,Healthcare,Security,No Footprint,Whitespace,83.9,Strong,14825644.0,1,100.0,99.818789,98,100,0,97,95.649742
169,A01100,Synthetic Account 1100,Latin America,Energy,Database,Hybrid,Modernization,83.9,Strong,14695374.0,1,100.0,99.847103,100,0,65,97,94.809287
